OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
258,1342189773,Calibration_RPPhotFPG_1-RPPhotFPG_261A_StdPS_blu_SAA-20+30_OD258_HIP95902,2010-01-27,16:04:02,55223.6694676,HIP 95902,Point-source photometry,blue,High,true,1,162.327172168,12,0.0403493776443,0.0001923153976,1.94227880616,2.42047650581,0.00509752705922,5.95809941777,5.72819681856
299,1342191839,Calibration_RPPhotFPG_1-RPPhotFPG_261B_cPS_blu_SAA-20+30_OD299_i_HIP95902,2010-03-09,10:26:19,55264.4349421,HIP 95902,Point-source photometry,blue,High,true,1,117.977832165,12,0.0427282001579,0.000192747104836,2.01498348694,2.51108140308,0.00510896992518,6.11463327487,5.40454767056
330,1342194121,Calibration_RPPhotFPG_1-RPPhotFPG_261C_cPS_blu_SAA-20+30_OD320_i_HIP95902,2010-04-08,23:54:48,55294.9963889,HIP 95902,Point-source photometry,blue,High,true,1,88.267283029,12,0.042432241003,0.000211298601512,2.00371486276,2.49703839339,0.00560069735561,6.12589567904,5.42163861979
200,1342187352,PVPhotFPG_261I_StdPS_blu_SAA-10+30_HIP95902_0001,2009-11-30,13:39:35,55165.5691551,HIP 95902,Point-source photometry,blue,High,true,6,222.673243481,12,0.0419867535257,9.71270954754e-05,1.99534251869,2.48660474089,0.00257445843415,5.81087637362,5.86319977135
274,1342190529,Calibration_RPPhotFPG_1-RPPhotFPG_261A_cPS_blu_SAA-20+30_OD274_i_HIP95902,2010-02-12,02:08:51,55239.0894792,HIP 95902,Point-source photometry,blue,High,true,1,145.183408156,12,0.0423273654016,0.000193687996268,1.9525922128,2.43332911914,0.0051339092675,5.9754415078,5.41278126562
320,1342193071,Calibration_RPPhotFPG_1-RPPhotFPG_261C_cPS_blu_SAA-20+30_OD320_i_HIP95902,2010-03-30,17:04:12,55285.71125,HIP 95902,Point-source photometry,blue,High,true,1,96.9448050894,12,0.0411357617732,0.000227315417587,1.99276714967,2.48339530454,0.00602524034262,6.21210971892,5.43073720291
546,1342209345,ObsCal_RP_FPG_PPhot_Blue_cycle26_HIP95902_OD546,2010-11-10,19:49:46,55510.8262269,HIP 95902,Point-source photometry,blue,High,true,1,241.343799387,12,0.0389689052469,0.000197344585768,2.06579936729,2.57440837967,0.00523083111648,6.52322213773,5.96136378837
555,1342209647,ObsCal_RP_FPG_PPhot_Blue_cycle27_HIP95902_2,2010-11-19,18:57:04,55519.7896296,HIP 95902,Point-source photometry,blue,High,true,1,233.085387355,12,0.0416158298527,0.000227555005262,2.09463434406,2.61034265625,0.00603159087238,6.36580548673,5.73454463345
554,1342210487,ObsCal_RP_FPG_PPhot_Blue_cycle27_HIP95902_1,2010-11-19,14:55:42,55519.6220139,HIP 95902,Point-source photometry,blue,High,true,1,233.240445899,12,0.0416674940351,0.000186722582467,2.09063803646,2.60536243992,0.00494928346129,6.16513905695,5.91894011079
566,1342210580,ObsCal_RP_FPG_PPhot_Blue_cycle27_HIP95902_3,2010-11-30,16:44:48,55530.6977778,HIP 95902,Point-source photometry,blue,High,true,1,222.85524236,12,0.0397117412376,0.000231794813589,2.04482876561,2.54827472238,0.00614397156546,6.16471885633,6.15635228677
579,1342211100,ObsCal_RP_FPG_PPhot_Blue_cycle28_HIP95902,2010-12-13,14:42:54,55543.613125,HIP 95902,Point-source photometry,blue,High,true,1,210.354978556,12,0.0402883148518,0.000202570575781,2.04839374175,2.55271741155,0.00536935161891,5.74712191127,6.3404448778
