OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
258,1342189773,Calibration_RPPhotFPG_1-RPPhotFPG_261A_StdPS_blu_SAA-20+30_OD258_HIP95902,2010-01-27,16:04:02,55223.6694676,HIP 95902,Point-source photometry,red,High,true,1,162.327172168,22,0.00206093861085,0.000140992899871,0.326338860805,0.399314277439,0.00672730171009,9.74690171377,9.32499075694
299,1342191839,Calibration_RPPhotFPG_1-RPPhotFPG_261B_cPS_blu_SAA-20+30_OD299_i_HIP95902,2010-03-09,10:26:19,55264.4349421,HIP 95902,Point-source photometry,red,High,true,1,117.977832165,22,0.00205105435333,0.000121574991632,0.351487300788,0.430086374625,0.00580080025207,12.0025282752,9.63254487507
330,1342194121,Calibration_RPPhotFPG_1-RPPhotFPG_261C_cPS_blu_SAA-20+30_OD320_i_HIP95902,2010-04-08,23:54:48,55294.9963889,HIP 95902,Point-source photometry,red,High,true,1,88.267283029,22,0.001996700031,0.000117339096203,0.363019314898,0.44419716079,0.00559868974443,12.437607917,10.3420528565
200,1342187352,PVPhotFPG_261I_StdPS_blu_SAA-10+30_HIP95902_0001,2009-11-30,13:39:35,55165.5691551,HIP 95902,Point-source photometry,red,High,true,6,222.673243481,22,0.00194714455641,5.54444967417e-05,0.373095123359,0.456526106737,0.00264546553824,11.2558433648,10.4872184263
274,1342190529,Calibration_RPPhotFPG_1-RPPhotFPG_261A_cPS_blu_SAA-20+30_OD274_i_HIP95902,2010-02-12,02:08:51,55239.0894792,HIP 95902,Point-source photometry,red,High,true,1,145.183408156,22,0.00201468324292,0.000114353385271,0.364450931537,0.445948913438,0.00545623024273,11.7835304034,10.1184238424
320,1342193071,Calibration_RPPhotFPG_1-RPPhotFPG_261C_cPS_blu_SAA-20+30_OD320_i_HIP95902,2010-03-30,17:04:12,55285.71125,HIP 95902,Point-source photometry,red,High,true,1,96.9448050894,22,0.00195121324347,0.000126515883974,0.368141969811,0.450465336268,0.00603654881482,12.6854211348,9.88785574544
546,1342209345,ObsCal_RP_FPG_PPhot_Blue_cycle26_HIP95902_OD546,2010-11-10,19:49:46,55510.8262269,HIP 95902,Point-source photometry,red,High,true,1,241.343799387,22,0.0020754440653,0.000115005957743,0.39647374156,0.485132617195,0.00548736693057,13.2301542828,10.0647059949
555,1342209647,ObsCal_RP_FPG_PPhot_Blue_cycle27_HIP95902_2,2010-11-19,18:57:04,55519.7896296,HIP 95902,Point-source photometry,red,High,true,1,233.085387355,22,0.00200585440337,0.000109376316925,0.345674321005,0.422973504843,0.00521875558674,11.3322920558,10.2578005515
554,1342210487,ObsCal_RP_FPG_PPhot_Blue_cycle27_HIP95902_1,2010-11-19,14:55:42,55519.6220139,HIP 95902,Point-source photometry,red,High,true,1,233.240445899,22,0.00196277509987,9.8090731486e-05,0.41122380661,0.503181070121,0.00468027784572,11.8986828355,10.5978350218
566,1342210580,ObsCal_RP_FPG_PPhot_Blue_cycle27_HIP95902_3,2010-11-30,16:44:48,55530.6977778,HIP 95902,Point-source photometry,red,High,true,1,222.85524236,22,0.0019859017941,0.000105797817891,0.359630757309,0.440050858931,0.00504801193443,11.818591626,10.4014542552
579,1342211100,ObsCal_RP_FPG_PPhot_Blue_cycle28_HIP95902,2010-12-13,14:42:54,55543.613125,HIP 95902,Point-source photometry,red,High,true,1,210.354978556,22,0.00200513368271,0.00010748298084,0.348583551311,0.426533292956,0.00512841739885,12.2069611015,11.0852232801
