OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
685,1342217423,ObsCal_RP_FPG_PPhot_Blue_cycle36_OD685_HIP99990,2011-03-29,22:35:33,55649.9413542,HIP 99990,Point-source photometry,blue,High,true,1,76.3680277444,12,0.0425434909521,0.000191880505104,2.09188647159,2.60691824533,0.0050859997645,6.30222816901,5.47327309681
360,1342196036,PPhoto-RT_CAP_45,2010-05-09,16:31:48,55325.68875,RT CAP,Scan map,blue,High,false,3,77.6775043596,12,0.112739845112,0.000590838806082,1.88962383214,2.35485764248,0.0141294324538,5.99455135545,5.35282926919
360,1342196037,PPhoto-RT_CAP_135,2010-05-09,16:51:01,55325.7020949,RT CAP,Scan map,blue,High,false,3,77.677834152,12,0.107317417703,0.000541352348075,1.94112372165,2.41903703435,0.00624524224051,6.22685133936,5.23373364926
887,1342231101,PPhoto-RT_CAP_45-E,2011-10-18,05:02:57,55852.2103819,RT CAP,Scan map,blue,High,false,30,256.787731458,12,0.11450897857,0.000190637387562,2.01234939981,2.50779879195,0.00494711129035,6.23502431861,5.20875927078
887,1342231102,PPhoto-RT_CAP_135-E,2011-10-18,07:13:05,55852.3007523,RT CAP,Scan map,blue,High,false,30,256.790249055,12,0.115763087942,0.000121568733333,2.01544381909,2.51165507105,0.00383258663023,5.967688994,5.21758114682
686,1342217741,ObsCal_RP_FPG_PPhot_Blue_cycle36_OD686_HIP99990,2011-03-30,23:58:05,55650.998669,HIP 99990,Point-source photometry,blue,High,true,1,76.4078792495,12,0.0429190159351,0.000212999734141,2.08709579795,2.60094808649,0.0056457877109,6.3194202205,5.57419177327
1050,1342242638,ObsCal_RP_FPG_PPhot_Blue_cycle62_OD1050_HIP99990,2012-03-28,21:38:37,56014.9018171,HIP 99990,Point-source photometry,blue,High,true,1,76.3877915935,12,0.0438928359267,0.00020776645102,2.13736322803,2.66359158192,0.00550707389679,6.33652864301,5.39169888324
1051,1342242731,ObsCal_RP_FPG_PPhot_Blue_cycle62_OD1051_HIP99990,2012-03-30,00:16:32,56016.0114815,HIP 99990,Point-source photometry,blue,High,true,1,76.4287282798,12,0.0456913382001,0.000201662106284,2.16376237443,2.69649031584,0.00534527165494,6.05098138066,5.18853199333
1045,1342243401,ObsCal_RP_FPG_PPhot_Blue_cycle62_OD1046_HIP99990,2012-03-24,01:20:32,56010.0559259,HIP 99990,Point-source photometry,blue,High,true,1,76.201341178,12,0.044770422105,0.00021438924609,2.1594049281,2.6910600468,0.00568261822394,6.2510999798,5.40926061543
1420,1342269245,ObsCal_RP_FPG_PPhot_Blue_cycle88_OD1420_HIP99990,2013-04-02,16:26:59,56384.6854051,HIP 99990,Point-source photometry,blue,High,true,1,76.5739734383,12,0.0444889614981,0.000213143910338,2.13238892401,2.65739258208,0.00564960925654,6.30933763922,5.44321487522
