OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
685,1342217423,ObsCal_RP_FPG_PPhot_Blue_cycle36_OD685_HIP99990,2011-03-29,22:35:33,55649.9413542,HIP 99990,Point-source photometry,red,High,true,1,76.3680277444,22,0.00230563008858,0.000106024796602,0.454682778743,0.556358273758,0.00505884194269,12.7188839744,9.92217911219
360,1342196036,PPhoto-RT_CAP_45,2010-05-09,16:31:48,55325.68875,RT CAP,Scan map,red,High,false,3,77.6775043596,22,0.0240256265233,0.00138376703404,0.378171747665,0.462737958311,0.0134273994273,12.2063803281,10.1968762604
360,1342196037,PPhoto-RT_CAP_135,2010-05-09,16:51:01,55325.7020949,RT CAP,Scan map,red,High,false,3,77.677834152,22,0.0228470082801,0.00120643641102,0.354906630694,0.434270330062,0.034759300229,11.7640064951,10.6530263508
887,1342231101,PPhoto-RT_CAP_45-E,2011-10-18,05:02:57,55852.2103819,RT CAP,Scan map,red,High,false,30,256.787731458,22,0.0247257499474,0.000426178020122,0.395785147895,0.484290041226,0.014250962316,11.9186499447,10.2934356223
887,1342231102,PPhoto-RT_CAP_135-E,2011-10-18,07:13:05,55852.3007523,RT CAP,Scan map,red,High,false,30,256.790249055,22,0.0255572254029,0.000298026074129,0.39768532671,0.486615135235,0.00814625748784,11.6794035509,10.2643412938
686,1342217741,ObsCal_RP_FPG_PPhot_Blue_cycle36_OD686_HIP99990,2011-03-30,23:58:05,55650.998669,HIP 99990,Point-source photometry,red,High,true,1,76.4078792495,22,0.00228207390553,9.62839213547e-05,0.472495687937,0.578154479537,0.00459406813659,12.0328959755,10.2628282309
1050,1342242638,ObsCal_RP_FPG_PPhot_Blue_cycle62_OD1050_HIP99990,2012-03-28,21:38:37,56014.9018171,HIP 99990,Point-source photometry,red,High,true,1,76.3877915935,22,0.00241036013521,0.000104117915636,0.471830150661,0.577340115793,0.00496785747758,12.4923139061,10.3060062867
1051,1342242731,ObsCal_RP_FPG_PPhot_Blue_cycle62_OD1051_HIP99990,2012-03-30,00:16:32,56016.0114815,HIP 99990,Point-source photometry,red,High,true,1,76.4287282798,22,0.00241327932565,0.000109003364609,0.44729058616,0.54731304993,0.00520096062858,12.3978020454,10.3808940695
1045,1342243401,ObsCal_RP_FPG_PPhot_Blue_cycle62_OD1046_HIP99990,2012-03-24,01:20:32,56010.0559259,HIP 99990,Point-source photometry,red,High,true,1,76.201341178,22,0.00238719608233,0.000149689819804,0.468626704087,0.573420319202,0.00714226448048,12.6360081361,9.90554298522
1420,1342269245,ObsCal_RP_FPG_PPhot_Blue_cycle88_OD1420_HIP99990,2013-04-02,16:26:59,56384.6854051,HIP 99990,Point-source photometry,red,High,true,1,76.5739734383,22,0.00237373555375,0.000159524768374,0.440634889078,0.539169015644,0.00761152687879,12.3369570819,9.19843172724
