OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
258,1342189771,Calibration_RPPhotFPG_1-RPPhotFPG_261A_StdPS_blu_SAA-20+30_OD258_HIP106642,2010-01-27,15:52:44,55223.6616204,HIP 106642,Point-source photometry,blue,High,true,1,195.078999532,12,0.153479884501,0.000253962454521,8.0717072903,10.0589976043,0.00673154880006,5.83932137858,6.37132205105
723,1342220076,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD723_HIP106642,2011-05-06,21:57:26,55687.9148843,HIP 106642,Point-source photometry,blue,High,true,1,85.3772633305,12,0.175895101042,0.000323644280136,8.9511482036,11.1549607905,0.00857854075202,6.27964321763,5.85714219551
726,1342220277,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD726_HIP106642,2011-05-10,00:54:54,55691.038125,HIP 106642,Point-source photometry,blue,High,true,1,82.6670171882,12,0.177273888984,0.000266827533717,8.94009774751,11.1411896628,0.00707255160137,6.18389932787,5.8120717028
726,1342220281,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD726_HIP106642_70,2011-05-10,01:32:51,55691.0644792,HIP 106642,Scan map,blue,High,false,1,82.6440599663,12,0.504775393573,0.000684856877195,8.79391546143,10.9590166463,0.0185857703871,5.69571349354,5.56538363801
720,1342220549,ObsCal_RP_FPG_PPhot_Blue_cycle38_OD720_HIP106642,2011-05-03,21:21:43,55684.890081,HIP 106642,Point-source photometry,blue,High,true,1,88.0547543397,12,0.167810363226,0.00030631312267,8.8080140143,10.9765863257,0.00811915972869,6.4746530535,5.97108133167
716,1342220888,ObsCal_RP_FPG_PPhot_Blue_cycle38_OD716_HIP106642,2011-04-29,23:05:41,55680.9622801,HIP 106642,Point-source photometry,blue,High,true,1,91.6126340561,12,0.17701166748,0.000284084557317,8.92409425525,11.1212460394,0.00752996762661,6.32003302417,5.84838875937
731,1342220944,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD731_HIP106642,2011-05-15,00:21:06,55696.0146528,HIP 106642,Point-source photometry,blue,High,true,1,78.4519638399,12,0.177945325678,0.000299239156059,8.92755641599,11.1255605996,0.00793165661315,6.29216178575,5.7146420341
764,1342222721,ObsCal_RP_FPG_PPhot_Blue_cycle42_OD764_HIP106642,2011-06-16,22:18:01,55728.9291782,HIP 106642,Point-source photometry,blue,High,true,1,52.3550276832,12,0.175109664389,0.000314071915291,8.90615259076,11.0988870572,0.00832481489633,6.36769382359,5.61565480139
1076,1342244865,ObsCal_RP_FPG_PPhot_Blue_cycl64_OD1076_HIP106642_70,2012-04-23,21:03:07,56040.8771644,HIP 106642,Scan map,blue,High,false,1,96.6573515364,12,0.465076373107,0.000687929913007,8.27495466744,10.3122853916,0.0150145834357,5.69036021304,5.6192302054
1083,1342245171,ObsCal_RP_FPG_PPhot_Blue_cycle64_OD1083_HIP106642,2012-04-30,21:09:10,56047.8813657,HIP 106642,Point-source photometry,blue,High,true,1,90.1418319222,12,0.166885526532,0.000324447929079,8.55471155916,10.6609196771,0.00859984233412,6.4404459097,5.81130186274
200,1342187335,PVPhotFPG_261I_StdPS_blu_SAA-10+30_HIP106642_0001,2009-11-30,10:15:52,55165.4276852,HIP 106642,Point-source photometry,blue,High,true,1,245.990872926,12,0.17035896961,0.000288128500105,8.55523739635,10.6615749777,0.00763715669231,6.2418946952,5.58550699091
