OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
258,1342189771,Calibration_RPPhotFPG_1-RPPhotFPG_261A_StdPS_blu_SAA-20+30_OD258_HIP106642,2010-01-27,15:52:44,55223.6616204,HIP 106642,Point-source photometry,red,High,true,1,195.078999532,22,0.00767714059663,0.000163701561671,1.43675287099,1.75803743729,0.00781081740129,10.9883108862,10.4242352918
723,1342220076,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD723_HIP106642,2011-05-06,21:57:26,55687.9148843,HIP 106642,Point-source photometry,red,High,true,1,85.3772633305,22,0.00783135459717,0.000110310513615,1.55570082993,1.90358436406,0.00526332962557,12.2792302983,9.7650594264
726,1342220277,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD726_HIP106642,2011-05-10,00:54:54,55691.038125,HIP 106642,Point-source photometry,red,High,true,1,82.6670171882,22,0.00828957541546,0.000124700313353,1.56805079307,1.91869600782,0.00594992110977,12.763166441,10.5807214425
726,1342220281,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD726_HIP106642_70,2011-05-10,01:32:51,55691.0644792,HIP 106642,Scan map,red,High,false,1,82.6440599663,22,0.0950789738724,0.00154034818195,1.37620584746,1.6839509773,0.035731705589,11.7936071962,10.2052920286
720,1342220549,ObsCal_RP_FPG_PPhot_Blue_cycle38_OD720_HIP106642,2011-05-03,21:21:43,55684.890081,HIP 106642,Point-source photometry,red,High,true,1,88.0547543397,22,0.00816815486619,9.89088348664e-05,1.54034040944,1.88478906891,0.00471931263594,12.7842300887,10.6361437022
716,1342220888,ObsCal_RP_FPG_PPhot_Blue_cycle38_OD716_HIP106642,2011-04-29,23:05:41,55680.9622801,HIP 106642,Point-source photometry,red,High,true,1,91.6126340561,22,0.00844780379191,0.000144037192017,1.56892493258,1.91976562112,0.00687255634189,12.6064212614,10.6051705171
731,1342220944,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD731_HIP106642,2011-05-15,00:21:06,55696.0146528,HIP 106642,Point-source photometry,red,High,true,1,78.4519638399,22,0.0082749018911,0.000136524207135,1.57436921009,1.92642733996,0.0065140835671,12.9534273855,10.532875463
764,1342222721,ObsCal_RP_FPG_PPhot_Blue_cycle42_OD764_HIP106642,2011-06-16,22:18:01,55728.9291782,HIP 106642,Point-source photometry,red,High,true,1,52.3550276832,22,0.0086404328743,0.000126943377061,1.5732842736,1.92509979158,0.00605694611831,11.1898913506,10.7984391828
1076,1342244865,ObsCal_RP_FPG_PPhot_Blue_cycl64_OD1076_HIP106642_70,2012-04-23,21:03:07,56040.8771644,HIP 106642,Scan map,red,High,false,1,96.6573515364,22,0.0883334730863,0.0015566534389,1.38529857372,1.69507700565,0.0630344876283,12.2938476962,10.2056301624
1083,1342245171,ObsCal_RP_FPG_PPhot_Blue_cycle64_OD1083_HIP106642,2012-04-30,21:09:10,56047.8813657,HIP 106642,Point-source photometry,red,High,true,1,90.1418319222,22,0.00817101943085,0.000126041339185,1.53657701309,1.88018410739,0.00601390649755,12.4525426815,10.7951869851
200,1342187335,PVPhotFPG_261I_StdPS_blu_SAA-10+30_HIP106642_0001,2009-11-30,10:15:52,55165.4276852,HIP 106642,Point-source photometry,red,High,true,1,245.990872926,22,0.00784584218288,0.000174315982728,1.37899693576,1.68736620467,0.00831727136453,11.406165246,9.99505245874
