OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
299,1342191929,Calibration_RPPhotFPG_1-RPPhotFPG_261B_cPS_blu_SAA-20+30_OD299_ni_HD17685,2010-03-09,19:17:39,55264.8039236,HD 17685,Point-source photometry,blue,High,true,1,301.848611753,12,0.033648458042,0.000212747669855,1.93318840689,2.40914800972,0.00563910647513,6.38385176682,5.89266234753
274,1342190600,Calibration_RPPhotFPG_1-RPPhotFPG_261A_cPS_blu_SAA-20+30_OD274_ni_HD17685,2010-02-12,08:52:12,55239.3695833,HD 17685,Point-source photometry,blue,High,true,1,274.487403571,12,0.0323924817866,0.000213170979684,1.94903990678,2.42890221954,0.00565032675876,7.05771221491,5.96839146924
320,1342193090,Calibration_RPPhotFPG_1-RPPhotFPG_261C_cPS_blu_SAA-20+30_OD320_ni_HD17685,2010-03-30,19:04:28,55285.7947685,HD 17685,Point-source photometry,blue,High,true,1,324.541523436,12,0.032883552865,0.000228620444095,1.91991251542,2.39260353459,0.00605983147791,6.46128852002,6.11788799891
639,1342214173,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD639_HD17685_110,2011-02-12,07:03:31,55604.2941088,HD 17685,Scan map,blue,High,false,1,274.201478993,12,0.0925196314387,0.000664876612916,1.88431830042,2.34824586521,0.0138346357566,6.2704716396,5.846753544
639,1342214174,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD639_HD17685_70,2011-02-12,07:05:26,55604.2954398,HD 17685,Scan map,blue,High,false,1,274.199840263,12,0.0933940180596,0.000651073195601,1.85901285998,2.31671011253,0.0319406897081,6.03820531644,5.80385176556
639,1342214179,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD639_HD17685,2011-02-12,08:01:47,55604.3345718,HD 17685,Point-source photometry,blue,High,true,1,274.242818412,12,0.0342675734913,0.000193206100213,1.98963317613,2.47948973274,0.00512113609276,6.32930459052,5.68058894237
640,1342214191,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD640_HD17685_110,2011-02-12,11:03:03,55604.4604514,HD 17685,Scan map,blue,High,false,1,274.375927182,12,0.0905224772785,0.000666076562837,1.86091849469,2.319084923,0.00575949376761,6.20000848823,5.67387254357
640,1342214192,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD640_HD17685_70,2011-02-12,11:04:58,55604.4617824,HD 17685,Scan map,blue,High,false,1,274.37466506,12,0.09362970069,0.000686919393912,1.90459756785,2.37351797867,0.0168324939081,6.04099808911,5.85900824846
640,1342214201,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD640_HD17685,2011-02-12,12:12:08,55604.5084259,HD 17685,Point-source photometry,blue,High,true,1,274.425251323,12,0.0301712147974,0.000207306387525,1.97196176917,2.45746754663,0.00549487941759,7.16497644509,6.2219205672
649,1342214601,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD649_HD17685,2011-02-21,13:56:35,55613.5809606,HD 17685,Point-source photometry,blue,High,true,1,284.067737849,12,0.0327010981233,0.000204562041738,1.97009934626,2.45514658689,0.00542213757225,6.70951960687,6.04346224019
649,1342214609,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD649_HD17685_110,2011-02-21,23:37:55,55613.9846644,HD 17685,Scan map,blue,High,false,1,284.503095565,12,0.0926276795928,0.000636094322477,1.91687527633,2.38881851371,0.0103904967269,6.47026257122,5.60920751196
649,1342214610,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD649_HD17685_70,2011-02-21,23:39:50,55613.9859954,HD 17685,Scan map,blue,High,false,1,284.501691535,12,0.0948791816264,0.000688652492569,1.90596781125,2.3752255821,0.0357804595526,5.92974116855,5.8738375195
732,1342221183,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD732_HD17685,2011-05-16,19:58:29,55697.8322801,HD 17685,Point-source photometry,blue,High,true,1,10.8891573208,12,0.031030760509,0.000286017236252,2.0973357706,2.61370918605,0.00758119536653,7.49927907136,6.56594522378
733,1342221302,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD733_HD17685,2011-05-17,20:32:43,55698.8560532,HD 17685,Point-source photometry,blue,High,true,1,11.8288665575,12,0.0368338324095,0.000259364533054,2.06308296525,2.57102318735,0.00687473671866,5.92024257181,5.98863474867
764,1342222737,ObsCal_RP_FPG_PPhot_Blue_cycle42_OD764_HD17685,2011-06-17,06:14:04,55729.2597685,HD 17685,Point-source photometry,blue,High,true,1,38.8510305865,12,0.035388689986,0.000204813606958,2.07041126414,2.58015574609,0.00542880557976,6.4137117885,6.16595505872
