OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
299,1342191929,Calibration_RPPhotFPG_1-RPPhotFPG_261B_cPS_blu_SAA-20+30_OD299_ni_HD17685,2010-03-09,19:17:39,55264.8039236,HD 17685,Point-source photometry,red,High,true,1,301.848611753,22,0.00185918901932,0.000101228372613,0.393283398681,0.481228854528,0.00482998650862,12.3187685645,10.8790667485
274,1342190600,Calibration_RPPhotFPG_1-RPPhotFPG_261A_cPS_blu_SAA-20+30_OD274_ni_HD17685,2010-02-12,08:52:12,55239.3695833,HD 17685,Point-source photometry,red,High,true,1,274.487403571,22,0.00182869350987,0.000133550958664,0.465836439398,0.570006099623,0.00637221869629,13.7412551578,10.5879476366
320,1342193090,Calibration_RPPhotFPG_1-RPPhotFPG_261C_cPS_blu_SAA-20+30_OD320_ni_HD17685,2010-03-30,19:04:28,55285.7947685,HD 17685,Point-source photometry,red,High,true,1,324.541523436,22,0.00207339351151,0.000123127177199,0.420079392797,0.514016929483,0.00587486086525,10.791060739,10.5372158372
639,1342214173,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD639_HD17685_110,2011-02-12,07:03:31,55604.2941088,HD 17685,Scan map,red,High,false,1,274.201478993,22,0.0198354290972,0.0014415316213,0.441530466614,0.540264860913,0.0176835063521,13.3761953499,11.3295436905
639,1342214174,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD639_HD17685_70,2011-02-12,07:05:26,55604.2954398,HD 17685,Scan map,red,High,false,1,274.199840263,22,0.0200649977406,0.00181170881231,0.472423891765,0.578066628411,0.311707930561,15.5009557668,12.2069427423
639,1342214179,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD639_HD17685,2011-02-12,08:01:47,55604.3345718,HD 17685,Point-source photometry,red,High,true,1,274.242818412,22,0.00179181982063,9.6312251796e-05,0.404146717796,0.494521413104,0.00459541988853,12.8737873351,10.4953529327
640,1342214191,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD640_HD17685_110,2011-02-12,11:03:03,55604.4604514,HD 17685,Scan map,red,High,false,1,274.375927182,22,0.0202166857238,0.00143000821052,0.393724455795,0.481768540186,0.0463135499297,12.9850510811,11.2478467293
640,1342214192,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD640_HD17685_70,2011-02-12,11:04:58,55604.4617824,HD 17685,Scan map,red,High,false,1,274.37466506,22,0.0190835936908,0.00213963185819,0.362557868783,0.443632526772,0.0886311828746,13.9914486326,10.8712582157
640,1342214201,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD640_HD17685,2011-02-12,12:12:08,55604.5084259,HD 17685,Point-source photometry,red,High,true,1,274.425251323,22,0.00172397062032,0.000114140195936,0.435511392315,0.532899810061,0.00544605817751,12.8558397273,10.3849049841
649,1342214601,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD649_HD17685,2011-02-21,13:56:35,55613.5809606,HD 17685,Point-source photometry,red,High,true,1,284.067737849,22,0.001686335886,0.000110214581667,0.43020131499,0.526402301046,0.0052587523514,14.3255959503,11.1860597682
649,1342214609,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD649_HD17685_110,2011-02-21,23:37:55,55613.9846644,HD 17685,Scan map,red,High,false,1,284.503095565,22,0.0197556608539,0.00151277904735,0.449639392059,0.550187092353,0.0357312074628,14.2118218495,11.6169118026
649,1342214610,ObsCal_RP_FPG_PPhot_Blue_cycle33_OD649_HD17685_70,2011-02-21,23:39:50,55613.9859954,HD 17685,Scan map,red,High,false,1,284.501691535,22,0.0197022859474,0.00160871634328,0.397942732165,0.48693010132,0.147638499283,15.7449856383,11.2426556112
732,1342221183,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD732_HD17685,2011-05-16,19:58:29,55697.8322801,HD 17685,Point-source photometry,red,High,true,1,10.8891573208,22,0.001949375996,0.000118815454504,0.476758030362,0.583369960714,0.00566913235346,11.2574178981,11.8934852762
733,1342221302,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD733_HD17685,2011-05-17,20:32:43,55698.8560532,HD 17685,Point-source photometry,red,High,true,1,11.8288665575,22,0.00197036317299,0.000114437781143,0.437709904222,0.535589949972,0.00546025708733,11.4321316266,10.8427362225
764,1342222737,ObsCal_RP_FPG_PPhot_Blue_cycle42_OD764_HD17685,2011-06-17,06:14:04,55729.2597685,HD 17685,Point-source photometry,red,High,true,1,38.8510305865,22,0.00182668148035,0.000138566755659,0.435639236236,0.533056242253,0.00661154124184,11.3647508197,11.4625618991
