OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
284,1342190943,Calibration_RPPhotFlux_1-RPPhotFlux_324A_cPS_10Jy_grn_alfTau_0001,2010-02-22,08:49:16,55249.3675463,alpha Tau,Point-source photometry,green,High,true,1,261.2735141,12,0.0883962003383,0.00020484855837,5.346526654,6.88698058991,0.00561236899912,7.20030422996,6.69498960196
284,1342190946,Calibration_RPPhotFlux_1-RPPhotFlux_324A_cPS_20Jy_blu_alfTau_0001,2010-02-22,09:03:49,55249.3776505,alpha Tau,Point-source photometry,blue,High,true,1,261.275635056,12,0.26014133862,0.000218107897258,11.1122144713,13.8480912061,0.00578118508438,6.00681247609,5.35003875521
299,1342191870,Calibration_RPPhotFPG_1-RPPhotFPG_261B_cPS_blu_SAA-20+30_OD299_ni_HIP21421,2010-03-09,13:26:02,55264.5597454,HIP 21421,Point-source photometry,blue,High,true,1,262.748630771,12,0.271751297155,0.000260464563323,11.3589233246,14.1555408788,0.0069038942075,5.70102590591,5.28218339837
284,1342190944,Calibration_RPPhotFlux_1-RPPhotFlux_324B_sPS_070_10Jy_grn_alfTau_0001,2010-02-22,08:52:51,55249.3700347,alpha Tau,Scan map,green,High,false,1,261.274263877,12,0.245351531724,0.000311987601528,5.3787759559,6.92852163713,0.0104520242655,6.7354602908,6.53965997785
284,1342190945,Calibration_RPPhotFlux_1-RPPhotFlux_324B_sPS_110_10Jy_grn_alfTau_0001,2010-02-22,08:58:20,55249.3738426,alpha Tau,Scan map,green,High,false,1,261.275195944,12,0.245577174842,0.000311803144344,5.38550327271,6.93718724441,0.00824137412875,6.74692823757,6.44807372161
284,1342190947,Calibration_RPPhotFlux_1-RPPhotFlux_324B_sPS_070_20Jy_blu_alfTau_0001,2010-02-22,09:07:24,55249.3801389,alpha Tau,Scan map,blue,High,false,1,261.275760847,12,0.736130693646,0.00031237387456,11.2420884869,14.0099407832,0.0072193266723,5.4695304995,5.21944139899
284,1342190948,Calibration_RPPhotFlux_1-RPPhotFlux_324B_sPS_110_20Jy_blu_alfTau_0001,2010-02-22,09:12:53,55249.3839468,alpha Tau,Scan map,blue,High,false,1,261.275892284,12,0.734610646898,0.000308620902315,11.2727144795,14.0481070317,0.0108635519658,5.60571339353,5.15317166994
118,1342183530,Calibration_PVPhotFlux_1-PVPhotFlux_321C_StdPS_photcal_blu_alfTau_0001,2009-09-09,04:36:25,55083.191956,alpha Tau,Point-source photometry,blue,High,true,1,82.278859626,12,0.269305905607,0.000248068458653,11.2277579836,13.9920820461,0.00657532208187,5.87832950606,5.31108636382
118,1342183531,Calibration_PVPhotFlux_1-PVPhotFlux_321C_StdPS_photcal_grn_alfTau_0001,2009-09-09,04:40:01,55083.194456,alpha Tau,Point-source photometry,green,High,true,1,82.2791423017,12,0.0928246396296,0.000224261520012,5.46488774849,7.03944416357,0.00614423851759,7.03128388357,6.60258946177
118,1342183532,Calibration_PVPhotFlux_1-PVPhotFlux_321D_StdScan_045_pcal_blu_alfTau_0001,2009-09-09,04:43:37,55083.196956,alpha Tau,Scan map,blue,High,false,1,82.2793562108,12,0.761815418649,0.00069796181751,11.3724058818,14.1723429016,0.0114058094897,5.5763852568,5.04271511698
