OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
284,1342190943,Calibration_RPPhotFlux_1-RPPhotFlux_324A_cPS_10Jy_grn_alfTau_0001,2010-02-22,08:49:16,55249.3675463,alpha Tau,Point-source photometry,red,High,true,1,261.2735141,22,0.0137068960321,0.000144369839159,2.28270876127,2.79316474097,0.00688842818855,12.3420471708,10.3917842149
284,1342190946,Calibration_RPPhotFlux_1-RPPhotFlux_324A_cPS_20Jy_blu_alfTau_0001,2010-02-22,09:03:49,55249.3776505,alpha Tau,Point-source photometry,red,High,true,1,261.275635056,22,0.0139418304589,0.000128303936695,2.26035175819,2.76580829771,0.0061218635373,12.1006638352,10.2965928723
299,1342191870,Calibration_RPPhotFPG_1-RPPhotFPG_261B_cPS_blu_SAA-20+30_OD299_ni_HIP21421,2010-03-09,13:26:02,55264.5597454,HIP 21421,Point-source photometry,red,High,true,1,262.748630771,22,0.0141727025038,0.000153229431347,2.25839495364,2.76341391539,0.00731115266429,11.856924656,10.2426858243
284,1342190944,Calibration_RPPhotFlux_1-RPPhotFlux_324B_sPS_070_10Jy_grn_alfTau_0001,2010-02-22,08:52:51,55249.3700347,alpha Tau,Scan map,red,High,false,1,261.274263877,22,0.156324024523,0.000616936628702,2.30317746691,2.8182106285,0.0172729700264,11.5562277588,10.0350893154
284,1342190945,Calibration_RPPhotFlux_1-RPPhotFlux_324B_sPS_110_10Jy_grn_alfTau_0001,2010-02-22,08:58:20,55249.3738426,alpha Tau,Scan map,red,High,false,1,261.275195944,22,0.158599988791,0.000750141352756,2.27697317057,2.7861465659,0.0162264353376,11.4641131321,9.89415229925
284,1342190947,Calibration_RPPhotFlux_1-RPPhotFlux_324B_sPS_070_20Jy_blu_alfTau_0001,2010-02-22,09:07:24,55249.3801389,alpha Tau,Scan map,red,High,false,1,261.275760847,22,0.157785297117,0.000697057134172,2.31025459987,2.82687033953,0.0343414182396,11.6361069262,9.84767766751
284,1342190948,Calibration_RPPhotFlux_1-RPPhotFlux_324B_sPS_110_20Jy_blu_alfTau_0001,2010-02-22,09:12:53,55249.3839468,alpha Tau,Scan map,red,High,false,1,261.275892284,22,0.155362157112,0.000731286083248,2.28056775178,2.79054496208,0.0343666095778,11.4483193047,9.97716882325
118,1342183530,Calibration_PVPhotFlux_1-PVPhotFlux_321C_StdPS_photcal_blu_alfTau_0001,2009-09-09,04:36:25,55083.191956,alpha Tau,Point-source photometry,red,High,true,1,82.278859626,22,0.0139069172905,0.00012393117454,2.33110076374,2.85237809195,0.00591322260327,12.3639296316,10.380790289
118,1342183531,Calibration_PVPhotFlux_1-PVPhotFlux_321C_StdPS_photcal_grn_alfTau_0001,2009-09-09,04:40:01,55083.194456,alpha Tau,Point-source photometry,red,High,true,1,82.2791423017,22,0.0141054362526,0.000117109592378,2.32200037232,2.84124268437,0.00558773925348,12.3408229024,10.4414954079
118,1342183532,Calibration_PVPhotFlux_1-PVPhotFlux_321D_StdScan_045_pcal_blu_alfTau_0001,2009-09-09,04:43:37,55083.196956,alpha Tau,Scan map,red,High,false,1,82.2793562108,22,0.157912688254,0.00132097414259,2.29465434184,2.80778157472,0.0623280706105,11.3529323242,9.96873258682
118,1342183533,Calibration_PVPhotFlux_1-PVPhotFlux_321D_StdScan_135_pcal_blu_alfTau_0001,2009-09-09,04:47:21,55083.1995486,alpha Tau,Scan map,red,High,false,1,82.2790182932,22,0.157438549941,0.00150368930931,2.19936548336,2.69118436169,0.0378060165973,11.3857252645,9.83314879856
118,1342183534,Calibration_PVPhotFlux_1-PVPhotFlux_321D_StdScan_045_pcal_grn_alfTau_0001,2009-09-09,04:51:05,55083.2021412,alpha Tau,Scan map,red,High,false,1,82.2799529287,22,0.156273905524,0.00142147547648,2.31609956353,2.83402234539,0.0258881719546,11.7287281046,10.1418522413
118,1342183535,Calibration_PVPhotFlux_1-PVPhotFlux_321D_StdScan_135_pcal_grn_alfTau_0001,2009-09-09,04:54:49,55083.2047338,alpha Tau,Scan map,red,High,false,1,82.2795141336,22,0.154252518816,0.00165025818117,2.27449621289,2.7831157146,0.0445671031458,11.5788453636,10.0525318218
118,1342183536,Calibration_PVPhotSpatial_1-PVPhotSpatial_314B_StdPSdith_blu_AlfTau_0001,2009-09-09,04:58:33,55083.2073264,Alf Tau,Point-source photometry,red,High,true,1,82.2804331894,22,0.0140630608326,0.000124671150758,2.30876238326,2.82504443563,0.00594852965264,12.2204392771,10.4053673469
118,1342183537,Calibration_PVPhotSpatial_1-PVPhotSpatial_314B_StdPSdith_grn_AlfTau_0001,2009-09-09,05:02:09,55083.2098264,Alf Tau,Point-source photometry,red,High,true,1,82.2806111197,22,0.0138418591671,0.000121531030046,2.26068439826,2.76621532226,0.00579870267938,12.2721228267,10.5408839157
