MJD;F_vobs_blau[Jy];delta_F_vobs_blau[Jy];F_v0_blau;m_b;delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot[Jy];F_v0_rot;m_r;delta_m_r;m_b-m_r;delta_m_b-m_r
55223.6694676;2.4204765058;0.0050975271;0.7961;-1.2073331191;0.002286562;0.3993142774;0.0067273017;0.15;-1.0630589489;0.0182915449;-0.1442741701;0.0184339084
55264.4349421;2.5110814031;0.0051089699;0.7961;-1.2472329195;0.0022090059;0.4300863746;0.0058008003;0.15;-1.1436610626;0.014643893;-0.1035718569;0.0148095682
55294.9963889;2.6016863004;0.0051204128;0.7961;-1.2857182655;0.0021368516;0.4441971608;0.0055986897;0.15;-1.1787112981;0.0136846893;-0.1070069673;0.0138505183
55165.5691551;2.6922911976;0.0051318557;0.7961;-1.3228860184;0.0020695538;0.4565261067;0.0026454655;0.15;-1.2084358973;0.0062915958;-0.1144501211;0.0066232341
55239.0894792;2.7828960949;0.0051432985;0.7961;-1.3588234186;0.0020066381;0.4459489134;0.0054562302;0.15;-1.1829846276;0.0132840927;-0.175838791;0.013434795
55285.71125;2.8735009922;0.0051547414;0.7961;-1.3936093188;0.0019476901;0.4504653363;0.0060365488;0.15;-1.1939252954;0.0145496203;-0.1996840233;0.0146794056
55510.8262269;2.9641058894;0.0051661843;0.7961;-1.4273152259;0.0018923458;0.4851326172;0.0054873669;0.15;-1.2744230393;0.0122808336;-0.1528921866;0.0124257735
55519.7896296;3.0547107867;0.0051776271;0.7961;-1.4600061864;0.0018402846;0.4229735048;0.0052187556;0.15;-1.1255547622;0.0133960918;-0.3344514242;0.0135219053
55519.6220139;3.145315684;0.00518907;0.7961;-1.4917415415;0.0017912228;0.5031810701;0.0046802778;0.15;-1.3140825884;0.0100988439;-0.1776589532;0.0102564676
55530.6977778;3.2359205812;0.0052005129;0.7961;-1.5225755758;0.0017449084;0.4400508589;0.0050480119;0.15;-1.1685290349;0.0124549452;-0.3540465409;0.01257658
55543.613125;3.3265254785;0.0052119557;0.7961;-1.5525580756;0.001701117;0.426533293;0.0051284174;0.15;-1.1346541913;0.0130543349;-0.4179038842;0.013164705
