MJD;F_vobs_blau[Jy];delta_F_vobs_blau[Jy];F_v0_blau;m_b;delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot[Jy];F_v0_rot;m_r;delta_m_r;m_b-m_r;delta_m_b-m_r
55649.9413542;2.6069182453;0.0050859998;0.7961;-1.2878994693;0.0021182306;0.5563582738;0.0050588419;0.15;-1.4231582297;0.0098723576;0.1352587605;0.0100970464
55325.68875;2.3548576425;0.0141294325;0.7961;-1.1774925852;0.0065145494;0.4627379583;0.0134273994;0.15;-1.2231096675;0.0315051174;0.0456170824;0.0321715989
55325.7020949;2.4190370344;0.0062452422;0.7961;-1.2066872334;0.0028030516;0.4342703301;0.0347593002;0.15;-1.1541722493;0.0869030834;-0.052514984;0.0869482777
55852.2103819;2.507798792;0.0049471113;0.7961;-1.2458126623;0.0021418217;0.4842900412;0.0142509623;0.15;-1.2725356985;0.0319494196;0.0267230362;0.0320211307
55852.3007523;2.5116550711;0.0038325866;0.7961;-1.2474809325;0.0016567474;0.4866151352;0.0081462575;0.15;-1.2777358841;0.0181759383;0.0302549516;0.0182512889
55650.998669;2.6009480865;0.0056457877;0.7961;-1.2854101502;0.0023567699;0.5781544795;0.0045940681;0.15;-1.4648815896;0.0086273587;0.1794714394;0.0089434715
56014.9018171;2.6635915819;0.0055070739;0.7961;-1.3112500244;0.0022447997;0.5773401158;0.0049678575;0.15;-1.4633511898;0.00934247;0.1521011654;0.0096083751
56016.0114815;2.6964903158;0.0053452717;0.7961;-1.3245781025;0.0021522625;0.5473130499;0.0052009606;0.15;-1.4053613609;0.0103174431;0.0807832585;0.0105395382
56010.0559259;2.6910600468;0.0056826182;0.7961;-1.3223894114;0.0022927115;0.5734203192;0.0071422645;0.15;-1.4559545477;0.0135234397;0.1335651363;0.0137164116
56384.6854051;2.6573925821;0.0056496093;0.7961;-1.3087202361;0.0023082722;0.5391690156;0.0076115269;0.15;-1.3890841691;0.0153274948;0.080363933;0.0155003296
