MJD;F_vobs_blau[Jy];delta_F_vobs_blau[Jy];F_v0_blau;m_b;delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot[Jy];F_v0_rot;m_r;delta_m_r;m_b-m_r;delta_m_b-m_r
55223.6616204;10.0589976043;0.0067315488;0.7961;-2.753967702;0.000726582;1.7580374373;0.0078108174;0.15;-2.6723421501;0.0048238377;-0.0816255519;0.0048782509
55687.9148843;11.1549607905;0.0085785408;0.7961;-2.8662510604;0.0008349677;1.9035843641;0.0052633296;0.15;-2.7587021745;0.0030020143;-0.1075488859;0.0031159687
55691.038125;11.1411896628;0.0070725516;0.7961;-2.864909859;0.0006892375;1.9186960078;0.0059499211;0.15;-2.7672872822;0.0033668933;-0.0976225769;0.0034367163
55691.0644792;10.9590166463;0.0185857704;0.7961;-2.8470099067;0.0018413371;1.6839509773;0.0357317056;0.15;-2.6255954631;0.0230382042;-0.2214144436;0.0231116718
55684.890081;10.9765863257;0.0081191597;0.7961;-2.8487491834;0.0008030972;1.8847890689;0.0047193126;0.15;-2.7479287383;0.0027185687;-0.1008204451;0.00283471
55680.9622801;11.1212460394;0.0075299676;0.7961;-2.8629645625;0.0007351297;1.9197656211;0.0068725563;0.15;-2.7678923777;0.0038868199;-0.0950721848;0.0039557281
55696.0146528;11.1255605996;0.0079316566;0.7961;-2.8633856993;0.0007740452;1.92642734;0.0065140836;0.15;-2.7716534352;0.0036713434;-0.091732264;0.0037520539
55728.9291782;11.0988870572;0.0083248149;0.7961;-2.8607795202;0.0008143657;1.9250997916;0.0060569461;0.15;-2.7709049698;0.0034160544;-0.0898745504;0.0035117829
56040.8771644;10.3122853916;0.0150145834;0.7961;-2.7809682491;0.001580821;1.6950770057;0.0630344876;0.15;-2.6327454337;0.0403750538;-0.1482228154;0.0404059893
56047.8813657;10.6609196771;0.0085998423;0.7961;-2.8170676183;0.0008758306;1.8801841074;0.0060139065;0.15;-2.7452727959;0.0034728067;-0.0717948224;0.0035815452
55165.4276852;10.6615749777;0.0076371567;0.7961;-2.8171343538;0.0007777404;1.6873662047;0.0083172714;0.15;-2.6277952189;0.0053517503;-0.1893391349;0.0054079674
