MJD;F_vobs_blau[Jy];delta_F_vobs_blau[Jy];F_v0_blau;m_b;delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot[Jy];F_v0_rot;m_r;delta_m_r;m_b-m_r;delta_m_b-m_r
55264.8039236;2.4091480097;0.0056391065;0.7961;-1.2022396461;0.0025413889;0.4812288545;0.0048299865;0.15;-1.2656510018;0.0108972917;0.0634113557;0.0111897107
55239.3695833;2.4289022195;0.0056503268;0.7961;-1.2111060195;0.0025257354;0.5700060996;0.0063722187;0.15;-1.44947061;0.0121376746;0.2383645905;0.0123976806
55285.7947685;2.3926035346;0.0060598315;0.7961;-1.1947577902;0.0027498824;0.5140169295;0.0058748609;0.15;-1.3372154099;0.01240922;0.1424576197;0.0127102554
55604.2941088;2.3482458652;0.0138346358;0.7961;-1.174439856;0.0063965895;0.5402648609;0.0176835064;0.15;-1.3912886567;0.035537427;0.2168488007;0.0361085181
55604.2954398;2.3167101125;0.0319406897;0.7961;-1.1597601762;0.0149691422;0.5780666284;0.3117079306;0.15;-1.4647165984;0.5854560165;0.3049564223;0.5856473533
55604.3345718;2.4794897327;0.0051211361;0.7961;-1.2334867259;0.0022424787;0.4945214131;0.0045954199;0.15;-1.2952346063;0.0100893786;0.0617478804;0.0103355827
55604.4604514;2.319084923;0.0057594938;0.7961;-1.1608725713;0.0026964476;0.4817685402;0.0463135499;0.15;-1.2668679445;0.1043743909;0.1059953732;0.1044092156
55604.4617824;2.3735179787;0.0168324939;0.7961;-1.1860622545;0.0076998145;0.4436325268;0.0886311829;0.15;-1.1773303043;0.2169139509;-0.0087319502;0.2170505684
55604.5084259;2.4574675466;0.0054948794;0.7961;-1.2238004183;0.0024276982;0.5328998101;0.0054460582;0.15;-1.376385766;0.0110958616;0.1525853477;0.0113583389
55613.5809606;2.4551465869;0.0054221376;0.7961;-1.2227745082;0.0023978247;0.526402301;0.0052587524;0.15;-1.3630662999;0.010846491;0.1402917917;0.0111083721
55613.9846644;2.3888185137;0.0103904967;0.7961;-1.1930388308;0.0047225599;0.5501870924;0.0357312075;0.15;-1.4110478459;0.0705117698;0.2180090151;0.0706697407
55613.9859954;2.3752255821;0.0357804596;0.7961;-1.1868430955;0.0163555582;0.4869301013;0.1476384993;0.15;-1.2784384095;0.3291980994;0.0915953139;0.3296041458
55697.8322801;2.6137091861;0.0075811954;0.7961;-1.2907241008;0.0031492326;0.5833699607;0.0056691324;0.15;-1.4746320083;0.0105510785;0.1839079075;0.0110110364
55698.8560532;2.5710231874;0.0068747367;0.7961;-1.2728459238;0.0029031829;0.53558995;0.0054602571;0.15;-1.3818529002;0.0110689135;0.1090069764;0.0114433088
55729.2597685;2.5801557461;0.0054288056;0.7961;-1.2766957454;0.0022844554;0.5330562423;0.0066115412;0.15;-1.376704436;0.0134664771;0.1000086905;0.0136588705
