OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
299,1342191898,Calibration_RPPhotFPG_1-RPPhotFPG_261B_cPS_blu_SAA-20+30_OD299_i_HIP46806,2010-03-09,16:08:37,55264.6726505,HIP 46806,Point-source photometry,blue,High,true,1,208.474861179,12,0.254695054481,0.000296709636792,11.0969533013,13.829072668,0.00786460897646,5.37323178629,5.78893339237
274,1342190512,Calibration_RPPhotFPG_1-RPPhotFPG_261A_cPS_blu_SAA-20+30_OD274_i_HIP46806,2010-02-12,00:32:21,55239.0224653,HIP 46806,Point-source photometry,blue,High,true,1,182.102377199,12,0.221919904146,0.000250891085213,10.4963737746,13.0806277848,0.00665013884354,5.85465394523,6.00598759586
470,1342203643,ObsCal_RP_FPG_PPhot_Blue_cycle21_HIP46806_1,2010-08-26,15:42:40,55434.6546296,HIP 46806,Point-source photometry,blue,High,true,1,12.3520142989,12,0.262323516214,0.000209914605266,11.129730315,13.8699195286,0.00556401304224,5.20445761494,5.83654339696
472,1342203694,ObsCal_RP_FPG_PPhot_Blue_cycle21_HIP46806_2,2010-08-28,17:13:11,55436.7174884,HIP 46806,Point-source photometry,blue,High,true,1,14.3770658185,12,0.257122692076,0.00024071110946,11.1581332914,13.9053154443,0.00638030760532,5.74850056394,5.53461265848
826,1342226687,ObsCal_RP_FPG_PPhot_Blue_cycle46_OD821_HIP46806,2011-08-17,12:13:22,55790.5092824,HIP 46806,Point-source photometry,blue,High,true,1,3.33698063821,12,0.2423777643,0.000256488374595,10.8833013803,13.5628186917,0.00679850103626,5.78312206589,5.89615891934
830,1342227017,ObsCal_RP_FPG_PPhot_Blue_cycle46_OD822_HIP46806,2011-08-21,11:32:22,55794.4808102,HIP 46806,Point-source photometry,blue,High,true,1,7.14052210615,12,0.247613939224,0.000256582805167,11.0112733997,13.7222979927,0.00680100402044,5.56218368581,6.03656834834
832,1342227108,ObsCal_RP_FPG_PPhot_Blue_cycle46_OD827_HIP46806,2011-08-23,11:13:44,55796.4678704,HIP 46806,Point-source photometry,blue,High,true,1,9.06092217608,12,0.243348850142,0.000268713173554,11.0814846907,13.8097956165,0.00712253251926,6.17126480337,5.56382915262
833,1342227285,ObsCal_RP_FPG_PPhot_Blue_cycle46_OD830_HIP46806,2011-08-24,11:40:58,55797.4867824,HIP 46806,Point-source photometry,blue,High,true,1,10.0487797205,12,0.246882782782,0.000248684367821,11.2573379389,14.0289447183,0.00659164741874,5.7113997438,6.04252251437
858,1342228898,ObsCal_RP_FPG_PPhot_Blue_cycle48_OD858_HIP46806,2011-09-19,00:29:58,55823.0208102,HIP 46806,Point-source photometry,blue,High,true,1,35.779616763,12,0.26281656894,0.000256879782106,11.6274280025,14.4901526052,0.00680887571454,5.89053439112,5.39075061409
1181,1342249138,ObsCal_RP_FPG_PPhot_Blue_cycl71_OD1181_HIP46806_70,2012-08-06,17:40:10,56145.7362269,HIP 46806,Scan map,blue,High,false,1,353.966865491,12,0.801626208135,0.000652934514139,12.5111094354,15.5914003458,0.00771819792161,5.5190766384,5.26891427413
1194,1342249872,ObsCal_RP_FPG_PPhot_Blue_cycle72_OD1194_HIP46806,2012-08-19,14:27:04,56158.6021296,HIP 46806,Point-source photometry,blue,High,true,1,6.10588364902,12,0.286418317716,0.000286144332902,12.8543266615,16.0191191829,0.00758456420033,5.64614677837,5.7800942179
1195,1342249953,ObsCal_RP_FPG_PPhot_Blue_cycl72_OD1195_HIP46806_70,2012-08-20,15:58:26,56159.6655787,HIP 46806,Scan map,blue,High,false,1,7.12614605425,12,0.809329172511,0.000709395716625,12.6858649175,15.8091814065,0.0197442451953,5.50395116157,5.3161087064
