OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
299,1342191898,Calibration_RPPhotFPG_1-RPPhotFPG_261B_cPS_blu_SAA-20+30_OD299_i_HIP46806,2010-03-09,16:08:37,55264.6726505,HIP 46806,Point-source photometry,red,High,true,1,208.474861179,22,0.0139210647068,0.000143805677699,2.19644347643,2.68760893987,0.00686150992274,11.0007089192,10.5877434414
274,1342190512,Calibration_RPPhotFPG_1-RPPhotFPG_261A_cPS_blu_SAA-20+30_OD274_i_HIP46806,2010-02-12,00:32:21,55239.0224653,HIP 46806,Point-source photometry,red,High,true,1,182.102377199,22,0.0135485920044,0.000133488009319,2.32865047128,2.84937986868,0.0063692151462,10.5743062621,11.9267838818
470,1342203643,ObsCal_RP_FPG_PPhot_Blue_cycle21_HIP46806_1,2010-08-26,15:42:40,55434.6546296,HIP 46806,Point-source photometry,red,High,true,1,12.3520142989,22,0.0135268975716,0.000136375433982,2.20976731272,2.70391223285,0.00650698504023,10.8765594536,10.8586585733
472,1342203694,ObsCal_RP_FPG_PPhot_Blue_cycle21_HIP46806_2,2010-08-28,17:13:11,55436.7174884,HIP 46806,Point-source photometry,red,High,true,1,14.3770658185,22,0.013533945397,0.000135480744511,2.17083115509,2.65626922886,0.0064642960395,10.6884687293,11.123942599
826,1342226687,ObsCal_RP_FPG_PPhot_Blue_cycle46_OD821_HIP46806,2011-08-17,12:13:22,55790.5092824,HIP 46806,Point-source photometry,red,High,true,1,3.33698063821,22,0.0126987633081,0.0001261910511,2.17987385484,2.66733404384,0.00602104981628,10.417274987,12.3566612059
830,1342227017,ObsCal_RP_FPG_PPhot_Blue_cycle46_OD822_HIP46806,2011-08-21,11:32:22,55794.4808102,HIP 46806,Point-source photometry,red,High,true,1,7.14052210615,22,0.0128315127201,0.000119907345155,2.24409955503,2.74592180076,0.00572123056448,10.7283512592,12.0876457622
832,1342227108,ObsCal_RP_FPG_PPhot_Blue_cycle46_OD827_HIP46806,2011-08-23,11:13:44,55796.4678704,HIP 46806,Point-source photometry,red,High,true,1,9.06092217608,22,0.0128468350027,0.000124299642408,2.21056809708,2.70489208744,0.00593080359151,11.2333009436,11.5450627507
833,1342227285,ObsCal_RP_FPG_PPhot_Blue_cycle46_OD830_HIP46806,2011-08-24,11:40:58,55797.4867824,HIP 46806,Point-source photometry,red,High,true,1,10.0487797205,22,0.0134385310988,0.000131479618388,2.26098384468,2.76658173046,0.00627338725873,10.8631670766,11.149246413
858,1342228898,ObsCal_RP_FPG_PPhot_Blue_cycle48_OD858_HIP46806,2011-09-19,00:29:58,55823.0208102,HIP 46806,Point-source photometry,red,High,true,1,35.779616763,22,0.014514725589,0.000118356593529,2.36293337392,2.89132906365,0.00564723836999,11.9255250205,10.4104389847
1181,1342249138,ObsCal_RP_FPG_PPhot_Blue_cycl71_OD1181_HIP46806_70,2012-08-06,17:40:10,56145.7362269,HIP 46806,Scan map,red,High,false,1,353.966865491,22,0.16812715142,0.00162322959652,2.49186491998,3.04909209263,0.0341024036243,10.271205006,11.3367617254
1194,1342249872,ObsCal_RP_FPG_PPhot_Blue_cycle72_OD1194_HIP46806,2012-08-19,14:27:04,56158.6021296,HIP 46806,Point-source photometry,red,High,true,1,6.10588364902,22,0.0152675748526,0.000129594704234,2.55353207045,3.12454916068,0.00618345091283,10.7002838216,11.7145060684
1195,1342249953,ObsCal_RP_FPG_PPhot_Blue_cycl72_OD1195_HIP46806_70,2012-08-20,15:58:26,56159.6655787,HIP 46806,Scan map,red,High,false,1,7.12614605425,22,0.16982704116,0.00150508587887,2.47887587798,3.03319846014,0.0322251053488,10.4551470214,10.7585478407
