OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
894,1342231377,ObsCal_RP_FPG_PPhot_Blue_cycle51_OD894_HIP48036,2011-10-24,15:39:52,55858.6526852,HIP 48036,Point-source photometry,blue,High,true,1,108.767618836,12,0.888016345163,0.000616358784215,42.7754907569,53.30700725,0.0163372544265,6.20975023666,5.65868339888
360,1342196001,Calibration_RPPhotFPG_1-RPPhotFPG_261D_cPS_blu_SAA-20+30_HIP48036_0001,2010-05-09,00:42:33,55325.0295486,HIP 48036,Point-source photometry,blue,High,true,1,289.121882942,12,0.973526600808,0.00059971033677,45.0107046217,56.0925407317,0.0158959693687,6.12804471907,5.35859507735
360,1342196002,Calibration_RPPhotFPG_1-RPPhotFPG_261E_sPS_070_blu_HIP48036_0001,2010-05-09,00:46:08,55325.032037,HIP 48036,Scan map,blue,High,false,1,289.120347131,12,2.70021765591,0.000475163795658,45.6737230838,56.9187972946,0.0349971794387,5.71066055243,5.40394130369
360,1342196003,Calibration_RPPhotFPG_1-RPPhotFPG_261E_sPS_110_blu_HIP48036_0001,2010-05-09,00:51:47,55325.0359606,HIP 48036,Scan map,blue,High,false,1,289.120392926,12,2.73723853507,0.000472847504352,45.5690176169,56.7883128749,0.0270019780867,5.77661158901,5.29805275875
530,1342207150,ObsCal_RP_FPG_PPhot_Blue_cycle25_HIP48036,2010-10-25,19:15:52,55494.8026852,HIP 48036,Point-source photometry,blue,High,true,1,108.807784802,12,1.02033212013,0.000696064989104,48.4462199309,60.3738952236,0.0184499533641,6.05560316432,5.62102440817
545,1342208531,ObsCal_RP_FPG_PPhot_Blue_cycle26_HIP48036_OD545,2010-11-10,15:40:40,55510.6532407,HIP 48036,Point-source photometry,blue,High,true,1,109.389514318,12,1.00567003252,0.000730800490365,47.3008293321,58.9465043539,0.0193706552934,6.0934932907,5.52982349793
540,1342209078,ObsCal_RP_FPG_PPhot_Blue_cycle26_HIP48036_OD540,2010-11-05,10:56:23,55505.4558218,HIP 48036,Point-source photometry,blue,High,true,1,109.209996852,12,0.987482876066,0.000672104720015,47.794168506,59.5613058315,0.0178148605866,6.17616865836,5.69682992658
546,1342209381,ObsCal_RP_FPG_PPhot_Blue_cycle26_HIP48036_OD546,2010-11-11,08:38:29,55511.3600579,HIP 48036,Point-source photometry,blue,High,true,1,109.413159358,12,1.01962847653,0.000790765461101,47.4077506791,59.0797502131,0.0209600915255,6.0964488054,5.45370338543
899,1342231586,ObsCal_RP_FPG_PPhot_Blue_cycle51_OD899_HIP48036,2011-10-29,16:43:11,55863.6966551,HIP 48036,Point-source photometry,blue,High,true,1,108.964737098,12,0.861708432802,0.000640829385899,41.8239644552,52.1212109316,0.0169858741199,6.32360475132,5.5713018809
900,1342231653,ObsCal_RP_FPG_PPhot_Blue_cycle51_OD900_HIP48036,2011-10-30,15:50:33,55864.6601042,HIP 48036,Point-source photometry,blue,High,true,1,109.000054666,12,0.86548013199,0.000549246571987,42.0609467271,52.4165392951,0.0145583728491,6.27672558146,5.62960736179
906,1342231873,ObsCal_RP_FPG_PPhot_Blue_cycle52_OD906_HIP48036,2011-11-05,15:19:22,55870.6384491,HIP 48036,Point-source photometry,blue,High,true,1,109.21471046,12,0.875376744312,0.00054818105217,41.8490441582,52.1524653692,0.014530130097,6.22025350244,5.60126002105
911,1342232209,ObsCal_RP_FPG_PPhot_Blue_cycle52_OD911_HIP48036,2011-11-10,18:39:09,55875.7771875,HIP 48036,Point-source photometry,blue,High,true,1,109.388918989,12,0.950067514036,0.000733004094446,42.3498792529,52.7766082966,0.0194290641965,5.89990875094,5.33693754146
1120,1342246696,ObsCal_RP_FPG_PPhot_Blue_cycle67_OD1120_HIP48036,2012-06-06,22:40:45,56084.9449653,HIP 48036,Point-source photometry,blue,High,true,1,290.013959221,12,0.962349734654,0.000732517559205,47.4253738385,59.1017122729,0.0194161680552,6.25265245553,5.66901508847
1121,1342246732,ObsCal_RP_FPG_PPhot_Blue_cycl67_OD1121_HIP48036_70,2012-06-07,16:54:56,56085.7048148,HIP 48036,Scan map,blue,High,false,1,290.04006044,12,2.76860048989,0.00085540204925,47.1873599023,58.8050982447,0.0204921132375,5.4713991695,5.66912143847
1123,1342246843,ObsCal_RP_FPG_PPhot_Blue_cycle67_OD1123_HIP48036,2012-06-09,16:49:48,56087.70125,HIP 48036,Point-source photometry,blue,High,true,1,290.113653394,12,0.960223623587,0.000680185228765,47.2561038522,58.8907672615,0.0180290431873,6.29916569879,5.65746234023
1124,1342246933,ObsCal_RP_FPG_PPhot_Blue_cycl67_OD1124_HIP48036_70,2012-06-10,22:34:05,56088.9403356,HIP 48036,Scan map,blue,High,false,1,290.159806826,12,2.78853121328,0.000936298398432,47.1164983927,58.7167903156,0.0219025175225,5.67838037877,5.44270533953
1265,1342254052,ObsCal_RP_FPG_PPhot_Blue_cycle77_OD1265_HIP48036,2012-10-29,18:15:35,56229.7608218,HIP 48036,Point-source photometry,blue,High,true,1,109.001442587,12,0.895769085495,0.000254689965681,43.286389646,53.943691723,0.00675083226809,6.20536075453,5.65407592153
1266,1342254141,ObsCal_RP_FPG_PPhot_Blue_cycl77_OD1266_HIP48036_70,2012-10-30,17:50:02,56230.7430787,HIP 48036,Scan map,blue,High,false,1,109.038441915,12,2.57286690422,0.000829316459342,42.7593501224,53.2868927194,0.0406372361437,5.60095239896,5.42466895251
