OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
894,1342231377,ObsCal_RP_FPG_PPhot_Blue_cycle51_OD894_HIP48036,2011-10-24,15:39:52,55858.6526852,HIP 48036,Point-source photometry,red,High,true,1,108.767618836,22,0.0536589705674,0.000212935842969,9.28622315119,11.36279473,0.0101599701961,12.3699351907,10.6166704941
360,1342196001,Calibration_RPPhotFPG_1-RPPhotFPG_261D_cPS_blu_SAA-20+30_HIP48036_0001,2010-05-09,00:42:33,55325.0295486,HIP 48036,Point-source photometry,red,High,true,1,289.121882942,22,0.0555643695598,0.000248121402241,9.60058936002,11.7474590486,0.0118388056074,12.6158472309,10.6202637914
360,1342196002,Calibration_RPPhotFPG_1-RPPhotFPG_261E_sPS_070_blu_HIP48036_0001,2010-05-09,00:46:08,55325.032037,HIP 48036,Scan map,red,High,false,1,289.120347131,22,0.642521003287,0.000834064460883,9.66821895781,11.8302118777,0.0620907269335,11.607088739,10.1334363106
360,1342196003,Calibration_RPPhotFPG_1-RPPhotFPG_261E_sPS_110_blu_HIP48036_0001,2010-05-09,00:51:47,55325.0359606,HIP 48036,Scan map,red,High,false,1,289.120392926,22,0.637580825491,0.000982095592207,9.69926024608,11.8681945733,0.0943090060304,11.5931625874,10.1650373507
530,1342207150,ObsCal_RP_FPG_PPhot_Blue_cycle25_HIP48036,2010-10-25,19:15:52,55494.8026852,HIP 48036,Point-source photometry,red,High,true,1,108.807784802,22,0.0607447441628,0.000228906412757,10.237032916,12.5262231777,0.0109219861667,12.1594042227,10.4906712992
545,1342208531,ObsCal_RP_FPG_PPhot_Blue_cycle26_HIP48036_OD545,2010-11-10,15:40:40,55510.6532407,HIP 48036,Point-source photometry,red,High,true,1,109.389514318,22,0.0595717113228,0.000255196980364,10.0862098823,12.3416733186,0.0121764080601,12.1384600476,10.5690812441
540,1342209078,ObsCal_RP_FPG_PPhot_Blue_cycle26_HIP48036_OD540,2010-11-05,10:56:23,55505.4558218,HIP 48036,Point-source photometry,red,High,true,1,109.209996852,22,0.0595423340736,0.000219542951313,10.1422819645,12.4102841575,0.010475220193,12.2511457024,10.5626316013
546,1342209381,ObsCal_RP_FPG_PPhot_Blue_cycle26_HIP48036_OD546,2010-11-11,08:38:29,55511.3600579,HIP 48036,Point-source photometry,red,High,true,1,109.413159358,22,0.0601842960151,0.000261779811778,10.0571937696,12.3061686655,0.0124904997135,11.8630389377,10.5417693672
899,1342231586,ObsCal_RP_FPG_PPhot_Blue_cycle51_OD899_HIP48036,2011-10-29,16:43:11,55863.6966551,HIP 48036,Point-source photometry,red,High,true,1,108.964737098,22,0.0529028803593,0.000221464498507,9.12152616697,11.1612684481,0.0105669044391,12.3844573032,10.6209567319
900,1342231653,ObsCal_RP_FPG_PPhot_Blue_cycle51_OD900_HIP48036,2011-10-30,15:50:33,55864.6601042,HIP 48036,Point-source photometry,red,High,true,1,109.000054666,22,0.0528468827472,0.000193983257405,9.15043230912,11.1966385393,0.00925567103354,12.370011213,10.5902582779
906,1342231873,ObsCal_RP_FPG_PPhot_Blue_cycle52_OD906_HIP48036,2011-11-05,15:19:22,55870.6384491,HIP 48036,Point-source photometry,red,High,true,1,109.21471046,22,0.0517800638259,0.00021791339562,9.07102685349,11.0994765524,0.0103974679601,12.4783244516,10.5983135614
