OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
731,1342220957,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD731_HIP52546,2011-05-15,01:40:13,55696.0695949,HIP 52546,Point-source photometry,blue,High,true,1,294.811788863,12,0.0481558806464,0.000190397988133,2.36222909023,2.94382042172,0.00504670405304,6.23213406379,5.57841450485
732,1342221205,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD732_HIP52546,2011-05-16,21:56:23,55697.9141551,HIP 52546,Point-source photometry,blue,High,true,1,293.344376064,12,0.0477152250037,0.000227777209969,2.37628455162,2.96133640035,0.00603748064782,6.12688466665,5.85588101687
744,1342221762,ObsCal_RP_FPG_PPhot_Blue_cycle40_OD744_HIP52546,2011-05-27,23:01:23,55708.959294,HIP 52546,Point-source photometry,blue,High,true,1,284.238359397,12,0.048016824239,0.000201295432053,2.35287530673,2.93216369502,0.00533555255893,6.20285509457,5.58025286381
745,1342221820,ObsCal_RP_FPG_PPhot_Blue_cycle40_OD745_HIP52546,2011-05-28,23:00:06,55709.9584028,HIP 52546,Point-source photometry,blue,High,true,1,283.39385349,12,0.048068135432,0.000208272197179,2.32737825894,2.90038916042,0.00552047924427,6.1287006826,5.5729163554
748,1342221940,ObsCal_RP_FPG_PPhot_Blue_cycle40_OD748_HIP52546_70,2011-05-31,23:39:51,55712.9860069,HIP 52546,Scan map,blue,High,false,1,280.805525687,12,0.133871787439,0.000713958914433,2.23979494281,2.79124244146,0.0216837760319,5.66651839549,5.49081575245
758,1342222463,ObsCal_RP_FPG_PPhot_Blue_cycle41_OD758_HIP52546,2011-06-10,18:53:39,55722.7872569,HIP 52546,Point-source photometry,blue,High,true,1,272.09673509,12,0.0446328617591,0.000169051048404,2.34116928166,2.9175755944,0.00448088038909,6.33233284109,6.01784652591
759,1342222530,ObsCal_RP_FPG_PPhot_Blue_cycle41_OD759_HIP52546,2011-06-11,20:14:15,55723.8432292,HIP 52546,Point-source photometry,blue,High,true,1,271.124977141,12,0.0504773730818,0.000173901475473,2.35979801837,2.94079080913,0.0046094461906,5.90999343817,5.5252368951
764,1342222697,ObsCal_RP_FPG_PPhot_Blue_cycle42_OD764_HIP52546,2011-06-16,20:18:13,55728.8459838,HIP 52546,Point-source photometry,blue,High,true,1,266.427710276,12,0.0503488944073,0.000217822006944,2.37813113583,2.96363762183,0.00577360725321,6.09492497479,5.51595407703
1096,1342245695,ObsCal_RP_FPG_PPhot_Blue_cycle65_OD1096_HIP52546,2012-05-13,19:56:27,56060.8308681,HIP 52546,Point-source photometry,blue,High,true,1,295.261111195,12,0.0489419386752,0.000207466820599,2.42653038663,3.02395298391,0.00549913186927,6.36988473824,5.87834767911
1103,1342245934,ObsCal_RP_FPG_PPhot_Blue_cycle66_OD1103_HIP52546,2012-05-20,19:36:29,56067.8170023,HIP 52546,Point-source photometry,blue,High,true,1,289.616187579,12,0.0505409142969,0.000199600403224,2.44258828396,3.04396440715,0.00529062399142,6.26286279281,5.50785275066
1109,1342246162,ObsCal_RP_FPG_PPhot_Blue_cycl66_OD1109_HIP52546_70,2012-05-26,19:00:20,56073.7918981,HIP 52546,Scan map,blue,High,false,1,284.658517609,12,0.145646482851,0.000685038866869,2.44364613921,3.04528271106,0.00929691533301,5.71790661619,5.55031409265
1110,1342246187,ObsCal_RP_FPG_PPhot_Blue_cycl66_OD1110_HIP52546_70,2012-05-27,18:57:05,56074.7896412,HIP 52546,Scan map,blue,High,false,1,283.81840647,12,0.145890727188,0.000678175860156,2.44561957939,3.04774202102,0.0206401365837,5.71294693048,5.53436512415
1120,1342246703,ObsCal_RP_FPG_PPhot_Blue_cycle67_OD1120_HIP52546,2012-06-06,23:45:07,56084.9896644,HIP 52546,Point-source photometry,blue,High,true,1,274.930626046,12,0.0541183817563,0.000183224684107,2.63853531532,3.28815447104,0.00485656789217,6.37637353728,5.76136087634
1121,1342246747,ObsCal_RP_FPG_PPhot_Blue_cycl67_OD1121_HIP52546_70,2012-06-07,23:47:22,56085.9912269,HIP 52546,Scan map,blue,High,false,1,274.028841499,12,0.151622687258,0.00063593826231,2.57220127367,3.20548869265,0.0035831065388,5.6911537168,5.56052697713
1124,1342246935,ObsCal_RP_FPG_PPhot_Blue_cycl67_OD1124_HIP52546_70,2012-06-10,22:49:21,56088.9509375,HIP 52546,Scan map,blue,High,false,1,271.324620062,12,0.155403451188,0.000659453627974,2.65278962356,3.30591825351,0.0135718586388,5.7151081124,5.50832809167
1124,1342246937,ObsCal_RP_FPG_PPhot_Blue_cycle67_OD1124_HIP52546,2012-06-10,22:59:52,56088.9582407,HIP 52546,Point-source photometry,blue,High,true,1,271.316874874,12,0.0508894735351,0.000206630287351,2.69879294522,3.36324779802,0.00547695865318,6.55560435627,6.09146274521
