OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
731,1342220957,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD731_HIP52546,2011-05-15,01:40:13,55696.0695949,HIP 52546,Point-source photometry,red,High,true,1,294.811788863,22,0.00237768504089,0.000117215232638,0.43506170801,0.532349568013,0.00559277974775,11.6978036378,9.76329494034
732,1342221205,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD732_HIP52546,2011-05-16,21:56:23,55697.9141551,HIP 52546,Point-source photometry,red,High,true,1,293.344376064,22,0.00236510127225,0.00011685325392,0.435908539088,0.533385766212,0.00557550838124,11.5775458655,10.333435602
744,1342221762,ObsCal_RP_FPG_PPhot_Blue_cycle40_OD744_HIP52546,2011-05-27,23:01:23,55708.959294,HIP 52546,Point-source photometry,red,High,true,1,284.238359397,22,0.00249355225945,0.0001003105477,0.452570174118,0.553773251591,0.00478619362889,12.0235076285,9.76625569054
745,1342221820,ObsCal_RP_FPG_PPhot_Blue_cycle40_OD745_HIP52546,2011-05-28,23:00:06,55709.9584028,HIP 52546,Point-source photometry,red,High,true,1,283.39385349,22,0.00234515210583,0.000103065366577,0.425609581469,0.52078377082,0.00491763640196,11.4449535399,10.0456809472
748,1342221940,ObsCal_RP_FPG_PPhot_Blue_cycle40_OD748_HIP52546_70,2011-05-31,23:39:51,55712.9860069,HIP 52546,Scan map,red,High,false,1,280.805525687,22,0.0254744227189,0.00144701369239,0.448510520956,0.548805784753,0.0531339151412,12.5690620143,10.10532644
758,1342222463,ObsCal_RP_FPG_PPhot_Blue_cycle41_OD758_HIP52546,2011-06-10,18:53:39,55722.7872569,HIP 52546,Point-source photometry,red,High,true,1,272.09673509,22,0.00234124688723,0.00011814197541,0.452421766057,0.553591656738,0.00563699813207,12.8581947818,10.2013416214
759,1342222530,ObsCal_RP_FPG_PPhot_Blue_cycle41_OD759_HIP52546,2011-06-11,20:14:15,55723.8432292,HIP 52546,Point-source photometry,red,High,true,1,271.124977141,22,0.00233685800526,0.000127707041352,0.431141458117,0.527552677598,0.00609338341478,12.3962142026,9.97234274146
764,1342222697,ObsCal_RP_FPG_PPhot_Blue_cycle42_OD764_HIP52546,2011-06-16,20:18:13,55728.8459838,HIP 52546,Point-source photometry,red,High,true,1,266.427710276,22,0.00250904624684,9.35487969477e-05,0.458934974203,0.561561338921,0.00446356506078,11.9484000178,9.78708355285
1096,1342245695,ObsCal_RP_FPG_PPhot_Blue_cycle65_OD1096_HIP52546,2012-05-13,19:56:27,56060.8308681,HIP 52546,Point-source photometry,red,High,true,1,295.261111195,22,0.00233988541546,8.4848000566e-05,0.437212300295,0.534981072585,0.00404841733043,11.7192950157,10.2035414193
1103,1342245934,ObsCal_RP_FPG_PPhot_Blue_cycle66_OD1103_HIP52546,2012-05-20,19:36:29,56067.8170023,HIP 52546,Point-source photometry,red,High,true,1,289.616187579,22,0.00248660825953,8.88887909469e-05,0.403872501191,0.494185876585,0.00424121864215,11.393931001,9.81765459975
1109,1342246162,ObsCal_RP_FPG_PPhot_Blue_cycl66_OD1109_HIP52546_70,2012-05-26,19:00:20,56073.7918981,HIP 52546,Scan map,red,High,false,1,284.658517609,22,0.0276524814041,0.00164877127429,0.46639028921,0.570683800516,0.0711284828262,11.2923667555,10.6949315959
1110,1342246187,ObsCal_RP_FPG_PPhot_Blue_cycl66_OD1110_HIP52546_70,2012-05-27,18:57:05,56074.7896412,HIP 52546,Scan map,red,High,false,1,283.81840647,22,0.0278789297135,0.00156571071839,0.476140454346,0.582614283256,0.0435321561154,12.5631674337,10.0546568987
1120,1342246703,ObsCal_RP_FPG_PPhot_Blue_cycle67_OD1120_HIP52546,2012-06-06,23:45:07,56084.9896644,HIP 52546,Point-source photometry,red,High,true,1,274.930626046,22,0.00258289138862,0.000128596669552,0.500366426928,0.612257632237,0.00613583092328,12.1777606773,9.81338277826
1121,1342246747,ObsCal_RP_FPG_PPhot_Blue_cycl67_OD1121_HIP52546_70,2012-06-07,23:47:22,56085.9912269,HIP 52546,Scan map,red,High,false,1,274.028841499,22,0.0292538606805,0.00130924665195,0.517365337965,0.633057814787,0.0289342804056,12.3742411732,10.5151766303
1124,1342246935,ObsCal_RP_FPG_PPhot_Blue_cycl67_OD1124_HIP52546_70,2012-06-10,22:49:21,56088.9509375,HIP 52546,Scan map,red,High,false,1,271.324620062,22,0.029177606256,0.00156670674975,0.430835273663,0.527178024627,0.0514755334379,12.0673678411,9.71245394232
1124,1342246937,ObsCal_RP_FPG_PPhot_Blue_cycle67_OD1124_HIP52546,2012-06-10,22:59:52,56088.9582407,HIP 52546,Point-source photometry,red,High,true,1,271.316874874,22,0.0024476772597,0.000107186373574,0.476187355357,0.582671672202,0.00511426515027,12.0838289645,9.84630906922
