OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
299,1342191906,Calibration_RPPhotFPG_1-RPPhotFPG_261B_cPS_blu_SAA-20+30_OD299_ni_HIP75847,2010-03-09,17:06:11,55264.7126273,HIP 75847,Point-source photometry,blue,High,true,1,63.8165878648,12,0.0619136099738,0.000221202994942,2.88328114117,3.59315781016,0.00586322398709,6.09756067934,5.55365093558
330,1342194127,Calibration_RPPhotFPG_1-RPPhotFPG_261C_cPS_blu_SAA-20+30_OD320_ni_HIP75847,2010-04-09,00:32:23,55295.0224884,HIP 75847,Point-source photometry,blue,High,true,1,34.3794835835,12,0.0618921701222,0.000207867107136,2.91263099891,3.62973373369,0.00550974189571,6.05406315464,5.85109268871
274,1342190583,Calibration_RPPhotFPG_1-RPPhotFPG_261A_cPS_blu_SAA-20+30_OD274_ni_HIP75847,2010-02-12,07:00:28,55239.2919907,HIP 75847,Point-source photometry,blue,High,true,1,89.7672773919,12,0.0556413437273,0.000203878270526,2.81041033036,3.50234588091,0.00540401347871,6.36274467483,5.78876968274
320,1342193078,Calibration_RPPhotFPG_1-RPPhotFPG_261C_cPS_blu_SAA-20+30_OD320_ni_HIP75847,2010-03-30,17:43:06,55285.7382639,HIP 75847,Point-source photometry,blue,High,true,1,43.2486320416,12,0.0637144672857,0.000222276668916,2.87868729847,3.5874329429,0.00589168287393,5.85282856659,5.34502476569
386,1342197705,ObsCal_RP_FPG_PPhot_Blue_cycle15_HIP75847,2010-06-03,21:23:49,55350.8915394,HIP 75847,Point-source photometry,blue,High,true,1,341.92332962,12,0.0658815365953,0.000189474576436,3.10988424706,3.87555161078,0.00502222802995,5.93718712556,5.80292659328
400,1342198497,ObsCal_RP_FPG_PPhot_Blue_cycle16_OD400_HIP75847,2010-06-17,17:44:50,55364.7394676,HIP 75847,Point-source photometry,blue,High,true,1,328.656013553,12,0.0620091703569,0.000200024573398,3.0819735977,3.84076923514,0.00530186707944,6.12801474692,5.78239724166
545,1342208522,ObsCal_RP_FPG_PPhot_Blue_cycle26_HIP75847_OD545,2010-11-10,14:42:33,55510.6128819,HIP 75847,Point-source photometry,blue,High,true,1,186.494864692,12,0.0692468171459,0.000203777613352,3.04340723746,3.79270766511,0.00540134545173,5.35459539306,5.88197734839
546,1342209349,ObsCal_RP_FPG_PPhot_Blue_cycle26_HIP75847_OD546,2010-11-10,20:11:28,55510.8412963,HIP 75847,Point-source photometry,blue,High,true,1,186.273887064,12,0.0654550464328,0.000182729435842,3.04970171431,3.80055187021,0.00484344080268,5.69988037234,6.10481320917
731,1342220951,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD731_HIP75847,2011-05-15,01:00:10,55696.0417824,HIP 75847,Point-source photometry,blue,High,true,1,0.909479882695,12,0.0742123578983,0.000176983694428,3.46180859302,4.31412129939,0.00469114372871,5.703772598,6.15352942961
732,1342221207,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD732_HIP75847,2011-05-16,22:07:39,55697.9219792,HIP 75847,Point-source photometry,blue,High,true,1,359.159706061,12,0.0774938070771,0.000191216533852,3.53740600945,4.40833113672,0.00506840049026,5.54108194806,6.13243894246
744,1342221769,ObsCal_RP_FPG_PPhot_Blue_cycle40_OD744_HIP75847,2011-05-27,23:48:23,55708.9919329,HIP 75847,Point-source photometry,blue,High,true,1,348.756601532,12,0.0748134145242,0.000170115518211,3.45420934576,4.30465108358,0.00450909530954,5.72780063613,5.87344231375
745,1342221830,ObsCal_RP_FPG_PPhot_Blue_cycle40_OD745_HIP75847,2011-05-29,01:20:21,55710.0557986,HIP 75847,Point-source photometry,blue,High,true,1,347.753003662,12,0.0764221122718,0.000202852492552,3.47333907847,4.32849064175,0.00537682412701,5.48036781942,6.01070979616
748,1342221939,ObsCal_RP_FPG_PPhot_Blue_cycle40_OD748_HIP75847_70,2011-05-31,23:34:36,55712.9823611,HIP 75847,Scan map,blue,High,false,1,344.971734038,12,0.210614369314,0.0007071788111,3.38571682172,4.21929539482,0.0230893882608,5.54054961447,5.40990225163
758,1342222480,ObsCal_RP_FPG_PPhot_Blue_cycle41_OD758_HIP75847,2011-06-10,21:21:02,55722.8896065,HIP 75847,Point-source photometry,blue,High,true,1,335.548013863,12,0.0702883306794,0.000209924548793,3.37037216489,4.20017281509,0.00556427660613,6.21134551492,5.80498662548
759,1342222538,ObsCal_RP_FPG_PPhot_Blue_cycle41_OD759_HIP75847,2011-06-11,21:21:50,55723.890162,HIP 75847,Point-source photometry,blue,High,true,1,334.587894838,12,0.0705930548489,0.000189824411551,3.39109149085,4.22599333145,0.00503150078702,5.90389155083,5.91686838514
764,1342222714,ObsCal_RP_FPG_PPhot_Blue_cycle42_OD764_HIP75847,2011-06-16,21:38:57,55728.9020486,HIP 75847,Point-source photometry,blue,High,true,1,329.768934817,12,0.0714534862426,0.00017860341154,3.37764223959,4.20923281458,0.00473407607793,6.17760229916,5.60735809196
858,1342228870,ObsCal_RP_FPG_PPhot_Blue_cycle48_OD858_HIP75847,2011-09-18,19:52:57,55822.8284375,HIP 75847,Point-source photometry,blue,High,true,1,237.185049225,12,0.0612555598457,0.00018954364823,3.04873582079,3.7993481694,0.00502405885234,6.16919237275,5.91926720793
1103,1342245933,ObsCal_RP_FPG_PPhot_Blue_cycle66_OD1103_HIP75847,2012-05-20,19:29:36,56067.8122222,HIP 75847,Point-source photometry,blue,High,true,1,354.869516149,12,0.0652268163029,0.000205672299327,3.07532583214,3.83248476006,0.00545156614725,6.14265443403,5.71695153562
1109,1342246163,ObsCal_RP_FPG_PPhot_Blue_cycl66_OD1109_HIP75847_70,2012-05-26,19:05:34,56073.7955324,HIP 75847,Scan map,blue,High,false,1,349.240463114,12,0.188012213651,0.000686792567467,3.00043545809,3.7391560421,0.00483239161551,5.47791498384,5.47460403928
1110,1342246188,ObsCal_RP_FPG_PPhot_Blue_cycl66_OD1110_HIP75847_70,2012-05-27,19:02:19,56074.7932755,HIP 75847,Scan map,blue,High,false,1,348.296624587,12,0.186994511632,0.000670422546297,2.99773475109,3.73579040901,0.00630478702329,5.50533751474,5.43476714779
