OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
299,1342191906,Calibration_RPPhotFPG_1-RPPhotFPG_261B_cPS_blu_SAA-20+30_OD299_ni_HIP75847,2010-03-09,17:06:11,55264.7126273,HIP 75847,Point-source photometry,red,High,true,1,63.8165878648,22,0.00312365531356,0.000122517215863,0.51154795258,0.625939554229,0.00584575731503,10.611574695,9.59539329478
330,1342194127,Calibration_RPPhotFPG_1-RPPhotFPG_261C_cPS_blu_SAA-20+30_OD320_ni_HIP75847,2010-04-09,00:32:23,55295.0224884,HIP 75847,Point-source photometry,red,High,true,1,34.3794835835,22,0.00299411763752,9.43634002866e-05,0.551546122419,0.674882056047,0.00450243285086,11.8974796568,10.4676256563
274,1342190583,Calibration_RPPhotFPG_1-RPPhotFPG_261A_cPS_blu_SAA-20+30_OD274_ni_HIP75847,2010-02-12,07:00:28,55239.2919907,HIP 75847,Point-source photometry,red,High,true,1,89.7672773919,22,0.00299854100073,0.000137520778542,0.54966690118,0.672582606115,0.00656163373834,12.6783130587,9.61255467854
320,1342193078,Calibration_RPPhotFPG_1-RPPhotFPG_261C_cPS_blu_SAA-20+30_OD320_ni_HIP75847,2010-03-30,17:43:06,55285.7382639,HIP 75847,Point-source photometry,red,High,true,1,43.2486320416,22,0.00303596979686,0.000133677876739,0.554767782078,0.678824138505,0.00637827443515,11.232950785,10.3101811549
386,1342197705,ObsCal_RP_FPG_PPhot_Blue_cycle15_HIP75847,2010-06-03,21:23:49,55350.8915394,HIP 75847,Point-source photometry,red,High,true,1,341.92332962,22,0.00314891530692,9.98592251616e-05,0.542705046128,0.664063951263,0.00476465933258,10.5985170617,10.8935984808
400,1342198497,ObsCal_RP_FPG_PPhot_Blue_cycle16_OD400_HIP75847,2010-06-17,17:44:50,55364.7394676,HIP 75847,Point-source photometry,red,High,true,1,328.656013553,22,0.00314444395157,0.000123384798177,0.601149063455,0.735577133887,0.00588715293136,11.295690123,10.7414807498
545,1342208522,ObsCal_RP_FPG_PPhot_Blue_cycle26_HIP75847_OD545,2010-11-10,14:42:33,55510.6128819,HIP 75847,Point-source photometry,red,High,true,1,186.494864692,22,0.00289879996988,0.00010986747878,0.571960467223,0.699861426645,0.00524219076675,10.6473732345,11.3593011578
546,1342209349,ObsCal_RP_FPG_PPhot_Blue_cycle26_HIP75847_OD546,2010-11-10,20:11:28,55510.8412963,HIP 75847,Point-source photometry,red,High,true,1,186.273887064,22,0.00318695298976,0.000119652892231,0.566564627485,0.693258977151,0.0057090896581,10.2057040442,11.6573287985
731,1342220951,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD731_HIP75847,2011-05-15,01:00:10,55696.0417824,HIP 75847,Point-source photometry,red,High,true,1,0.909479882695,22,0.00364394936399,0.000113062403431,0.679853690503,0.831881574011,0.00539463264208,10.8928886302,10.6930746011
732,1342221207,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD732_HIP75847,2011-05-16,22:07:39,55697.9219792,HIP 75847,Point-source photometry,red,High,true,1,359.159706061,22,0.00358581281083,9.55166402321e-05,0.65152619675,0.79721952772,0.00455745826749,10.3851793455,10.4538272918
744,1342221769,ObsCal_RP_FPG_PPhot_Blue_cycle40_OD744_HIP75847,2011-05-27,23:48:23,55708.9919329,HIP 75847,Point-source photometry,red,High,true,1,348.756601532,22,0.00371653635919,0.000109618413411,0.697373894796,0.85331962065,0.0052303069209,11.7043412967,11.2150479664
745,1342221830,ObsCal_RP_FPG_PPhot_Blue_cycle40_OD745_HIP75847,2011-05-29,01:20:21,55710.0557986,HIP 75847,Point-source photometry,red,High,true,1,347.753003662,22,0.00378508288236,0.000114021981978,0.664761688503,0.813414720695,0.00544041774478,10.9851553753,11.5453161195
748,1342221939,ObsCal_RP_FPG_PPhot_Blue_cycle40_OD748_HIP75847_70,2011-05-31,23:34:36,55712.9823611,HIP 75847,Scan map,red,High,false,1,344.971734038,22,0.0404869763397,0.00139317902333,0.62766460223,0.768022038488,0.0361355710495,10.5081127058,11.2353160162
758,1342222480,ObsCal_RP_FPG_PPhot_Blue_cycle41_OD758_HIP75847,2011-06-10,21:21:02,55722.8896065,HIP 75847,Point-source photometry,red,High,true,1,335.548013863,22,0.00357219649048,0.000119040722981,0.687311075737,0.841006568776,0.00567988076006,10.4469847168,10.7956220838
759,1342222538,ObsCal_RP_FPG_PPhot_Blue_cycle41_OD759_HIP75847,2011-06-11,21:21:50,55723.890162,HIP 75847,Point-source photometry,red,High,true,1,334.587894838,22,0.00378017215489,9.61468800622e-05,0.642564130828,0.786253377782,0.00458752938094,11.1517750261,10.3464956703
764,1342222714,ObsCal_RP_FPG_PPhot_Blue_cycle42_OD764_HIP75847,2011-06-16,21:38:57,55728.9020486,HIP 75847,Point-source photometry,red,High,true,1,329.768934817,22,0.00361449110539,0.000140540594794,0.68625037494,0.839708675625,0.00670572053317,10.6571977886,10.3597985362
858,1342228870,ObsCal_RP_FPG_PPhot_Blue_cycle48_OD858_HIP75847,2011-09-18,19:52:57,55822.8284375,HIP 75847,Point-source photometry,red,High,true,1,237.185049225,22,0.00331909309722,0.000120528252482,0.606545037986,0.742179748315,0.00575085638904,11.6730858101,10.5855819692
1103,1342245933,ObsCal_RP_FPG_PPhot_Blue_cycle66_OD1103_HIP75847,2012-05-20,19:29:36,56067.8122222,HIP 75847,Point-source photometry,red,High,true,1,354.869516149,22,0.00336728198749,0.000106207463516,0.666430661725,0.815456907257,0.0050675576684,10.8827292282,10.7111030418
1109,1342246163,ObsCal_RP_FPG_PPhot_Blue_cycl66_OD1109_HIP75847_70,2012-05-26,19:05:34,56073.7955324,HIP 75847,Scan map,red,High,false,1,349.240463114,22,0.0407749492607,0.00142176681478,0.651545448686,0.797243084746,0.0323108461835,10.9587642626,10.6812651379
1110,1342246188,ObsCal_RP_FPG_PPhot_Blue_cycl66_OD1110_HIP75847_70,2012-05-27,19:02:19,56074.7932755,HIP 75847,Scan map,red,High,false,1,348.296624587,22,0.0375419636634,0.0015245791547,0.64248698945,0.786158986164,0.0350853821812,10.7133805704,11.6913670775
