OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
200,1342187357,PVPhotFPG_261I_StdPS_blu_SAA-10+30_HIP87816_0001,2009-11-30,14:36:25,55165.6086227,HIP 87816,Point-source photometry,blue,High,true,1,200.946873836,12,0.104808229084,0.000321268080387,6.31048686798,7.86415686344,0.00851555701453,6.37810725596,6.61903832762
274,1342190576,Calibration_RPPhotFPG_1-RPPhotFPG_261A_cPS_blu_SAA-20+30_OD274_i_HIP87816,2010-02-12,06:24:48,55239.2672222,HIP 87816,Point-source photometry,blue,High,true,1,125.775282982,12,0.0951944351838,0.000309812053513,5.8095543054,7.23989247108,0.0082119026649,6.86841898724,6.22965753294
764,1342222753,ObsCal_RP_FPG_PPhot_Blue_cycle42_OD764_HIP87816,2011-06-17,08:28:42,55729.3532639,HIP 87816,Point-source photometry,blue,High,true,1,3.74570186829,12,0.112510886674,0.000295194476323,6.56864895733,8.18587960993,0.00782444801387,6.25606691429,6.62842737085
918,1342232432,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD918_HIP87816,2011-11-17,15:26:29,55882.6433912,HIP 87816,Point-source photometry,blue,High,true,1,214.645935756,12,0.141169899797,0.000319924656221,8.35546461555,10.4126172478,0.00847994810788,6.33483375075,6.5911610136
919,1342232465,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD919_HIP87816,2011-11-18,16:12:20,55883.6752315,HIP 87816,Point-source photometry,blue,High,true,1,213.60989711,12,0.142751410259,0.000319627879442,8.33794086693,10.3907790742,0.00847208171925,6.40805807445,6.4530556585
927,1342233065,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD927_HIP87816,2011-11-26,17:03:48,55891.7109722,HIP 87816,Point-source photometry,blue,High,true,1,205.52359889,12,0.138521155961,0.000327552497164,8.26903395686,10.3049069757,0.00868213226004,6.4157158558,6.56515558142
928,1342233205,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD928_HIP87816,2011-11-27,17:01:01,55892.7090394,HIP 87816,Point-source photometry,blue,High,true,1,204.515312866,12,0.137746375561,0.000270455530061,8.23844257626,10.2667838608,0.0071687155579,6.35326364356,6.59863443029
932,1342233356,ObsCal_RP_FPG_PPhot_Blue_cycle54_OD932_HIP87816,2011-12-01,16:59:14,55896.7078009,HIP 87816,Point-source photometry,blue,High,true,1,200.469958417,12,0.136992372479,0.000324594414368,8.3408321989,10.394382265,0.00860372508473,6.53948041828,6.32453153759
935,1342233587,ObsCal_RP_FPG_PPhot_Blue_cycle54_OD935_HIP87816,2011-12-04,14:58:58,55899.6242824,HIP 87816,Point-source photometry,blue,High,true,1,197.514290595,12,0.133587102986,0.000336517971164,8.1810790373,10.1952971629,0.00891977181924,6.60460403852,6.61292840828
936,1342234216,ObsCal_RP_FPG_PPhot_Blue_cycle54_OD936_HIP87816,2011-12-05,15:08:00,55900.6305556,HIP 87816,Point-source photometry,blue,High,true,1,196.494217468,12,0.136319367683,0.000261158404324,8.20503170714,10.2251470868,0.00692228521166,6.42685268828,6.69160045615
1028,1342240701,ObsCal_RP_FPG_PPhot_Blue_cycle60_OD1028_HIP87816,2012-03-06,18:25:27,55992.7676736,HIP 87816,Point-source photometry,blue,High,true,1,102.467113389,12,0.110827807048,0.000276753078744,6.80505200259,8.48048613868,0.00733563887876,6.88261106242,6.42132715493
1034,1342241298,ObsCal_RP_FPG_PPhot_Blue_cycle61_OD1034_HIP87816,2012-03-13,14:17:52,55999.5957407,HIP 87816,Point-source photometry,blue,High,true,1,95.6727768582,12,0.113951752652,0.000289779058646,6.67320601385,8.31617907982,0.00768090652685,6.88522199009,5.99717944
