OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
200,1342187357,PVPhotFPG_261I_StdPS_blu_SAA-10+30_HIP87816_0001,2009-11-30,14:36:25,55165.6086227,HIP 87816,Point-source photometry,red,High,true,1,200.946873836,22,0.00497872892926,0.000167033547485,1.37130952637,1.67795974809,0.00796979898043,12.5102581534,11.7069153174
274,1342190576,Calibration_RPPhotFPG_1-RPPhotFPG_261A_cPS_blu_SAA-20+30_OD274_i_HIP87816,2010-02-12,06:24:48,55239.2672222,HIP 87816,Point-source photometry,red,High,true,1,125.775282982,22,0.00476637870543,0.000132771921106,1.27695179468,1.56250187906,0.00633504788345,12.7752648223,11.6358771601
764,1342222753,ObsCal_RP_FPG_PPhot_Blue_cycle42_OD764_HIP87816,2011-06-17,08:28:42,55729.3532639,HIP 87816,Point-source photometry,red,High,true,1,3.74570186829,22,0.00573514946944,0.000116929587592,1.33339136248,1.6315623801,0.0055791505479,11.7683916674,10.7311205354
918,1342232432,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD918_HIP87816,2011-11-17,15:26:29,55882.6433912,HIP 87816,Point-source photometry,red,High,true,1,214.645935756,22,0.0067382813996,0.000146186966341,1.71446776504,2.09785452796,0.00697513016299,11.5087641013,11.1465535691
919,1342232465,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD919_HIP87816,2011-11-18,16:12:20,55883.6752315,HIP 87816,Point-source photometry,red,High,true,1,213.60989711,22,0.00709790155357,0.000139545819177,1.66281191331,2.03464747056,0.00665825604581,11.562498792,10.6730960533
927,1342233065,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD927_HIP87816,2011-11-26,17:03:48,55891.7109722,HIP 87816,Point-source photometry,red,High,true,1,205.52359889,22,0.00713209638571,0.000145940737743,1.66845633411,2.04155408844,0.0069633816702,11.46454155,10.8721162056
928,1342233205,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD928_HIP87816,2011-11-27,17:01:01,55892.7090394,HIP 87816,Point-source photometry,red,High,true,1,204.515312866,22,0.0069429831006,0.000168390123427,1.66987874684,2.04329457902,0.00803452632242,11.8237244132,11.1215780262
932,1342233356,ObsCal_RP_FPG_PPhot_Blue_cycle54_OD932_HIP87816,2011-12-01,16:59:14,55896.7078009,HIP 87816,Point-source photometry,red,High,true,1,200.469958417,22,0.00701051717577,0.000147339517285,1.63853311214,2.00493947953,0.00703012270475,11.5020688662,11.3315010847
935,1342233587,ObsCal_RP_FPG_PPhot_Blue_cycle54_OD935_HIP87816,2011-12-04,14:58:58,55899.6242824,HIP 87816,Point-source photometry,red,High,true,1,197.514290595,22,0.00648561109337,0.000134904244274,1.63362062591,1.99892847035,0.00643678904423,11.7619433682,11.3387605043
936,1342234216,ObsCal_RP_FPG_PPhot_Blue_cycle54_OD936_HIP87816,2011-12-05,15:08:00,55900.6305556,HIP 87816,Point-source photometry,red,High,true,1,196.494217468,22,0.00655062010815,0.000130096362612,1.65224628462,2.0217191715,0.00620738692146,11.7975850181,10.9428531909
1028,1342240701,ObsCal_RP_FPG_PPhot_Blue_cycle60_OD1028_HIP87816,2012-03-06,18:25:27,55992.7676736,HIP 87816,Point-source photometry,red,High,true,1,102.467113389,22,0.00541041484635,0.000129204880451,1.38969022759,1.70045071471,0.00616485095352,13.5966188968,11.1070010707
1034,1342241298,ObsCal_RP_FPG_PPhot_Blue_cycle61_OD1034_HIP87816,2012-03-13,14:17:52,55999.5957407,HIP 87816,Point-source photometry,red,High,true,1,95.6727768582,22,0.00563173040223,0.000157838681663,1.43335174093,1.75387575152,0.00753107733822,13.716681477,10.475999311
