OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
731,1342220938,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD731_HIP107390,2011-05-14,23:26:47,55695.9769329,HIP 107390,Point-source photometry,blue,High,true,1,72.7743702894,12,0.0293960739999,0.000194072750212,1.65677043036,2.06467469525,0.0051441075858,6.662398723,6.13910372262
732,1342221176,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD732_HIP107390,2011-05-16,19:16:10,55697.8028935,HIP 107390,Point-source photometry,blue,High,true,1,72.0341939641,12,0.0333825037277,0.000232169156496,1.71363442732,2.13553886174,0.006153893928,6.24028698902,5.53186734223
946,1342234333,ObsCal_RP_FPG_PPhot_Blue_cycle55_OD946_HIP107390,2011-12-15,13:02:52,55910.5436574,HIP 107390,Point-source photometry,blue,High,true,1,240.080697593,12,0.0310910467799,0.000201848483318,1.69962213627,2.11807668216,0.00535021177926,6.40745059681,5.56326806599
947,1342234440,ObsCal_RP_FPG_PPhot_Blue_cycle55_OD947_HIP107390,2011-12-16,21:27:06,55911.8938194,HIP 107390,Point-source photometry,blue,High,true,1,239.453004655,12,0.0317347514814,0.000201234716358,1.6660334901,2.07621836159,0.00533394322394,6.26172716937,5.69541296913
1076,1342244868,ObsCal_RP_FPG_PPhot_Blue_cycl64_OD1076_HIP107390_70,2012-04-23,21:27:58,56040.8944213,HIP 107390,Scan map,blue,High,false,1,81.8157945932,12,0.0895330174486,0.00066208678063,1.6400199413,2.04380016112,0.00972302641636,5.78269940328,5.63533450495
1083,1342245172,ObsCal_RP_FPG_PPhot_Blue_cycle64_OD1083_HIP107390,2012-04-30,21:18:01,56047.8875116,HIP 107390,Point-source photometry,blue,High,true,1,78.4942549755,12,0.0308961360225,0.00019649442926,1.72906144795,2.15476408361,0.00520829680118,6.67612579376,5.93290404638
1315,1342257505,ObsCal_RP_FPG_PPhot_Blue_cycle81_OD1315_HIP107390,2012-12-19,13:01:57,56280.5430208,HIP 107390,Point-source photometry,blue,High,true,1,237.86203992,12,0.0281036682382,0.00020440018705,1.49661530495,1.86508866409,0.00541784743915,6.18847975931,5.95415573438
1316,1342257516,ObsCal_RP_FPG_PPhot_Blue_cycle81_OD1316_HIP107390,2012-12-19,20:48:04,56280.866713,HIP 107390,Point-source photometry,blue,High,true,1,237.703755318,12,0.0295271771323,0.000208876033845,1.49764572279,1.86637277539,0.00553648458643,6.13049028761,5.44455736478
1321,1342257729,ObsCal_RP_FPG_PPhot_Blue_cycle81_OD1321_HIP107390,2012-12-24,14:39:23,56285.6106829,HIP 107390,Point-source photometry,blue,High,true,1,235.29366439,12,0.0300646796745,0.000195518345656,1.52575215978,1.90139914245,0.00518242465238,6.12724130849,5.61961705908
1322,1342257764,ObsCal_RP_FPG_PPhot_Blue_cycle81_OD1322_HIP107390,2012-12-25,13:43:34,56286.5719213,HIP 107390,Point-source photometry,blue,High,true,1,234.782994231,12,0.0301636485079,0.000193250248246,1.50979416384,1.88151221678,0.00512230628397,5.97425013016,5.56064891034
