OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
731,1342220938,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD731_HIP107390,2011-05-14,23:26:47,55695.9769329,HIP 107390,Point-source photometry,red,High,true,1,72.7743702894,22,0.00191219101184,0.000127684952511,0.388369578622,0.475216213246,0.00609232947308,12.9419958949,9.96373506528
732,1342221176,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD732_HIP107390,2011-05-16,19:16:10,55697.8028935,HIP 107390,Point-source photometry,red,High,true,1,72.0341939641,22,0.00185795301072,0.00010840709776,0.465609258047,0.569728116312,0.00517251049388,13.4745170423,9.96594932983
946,1342234333,ObsCal_RP_FPG_PPhot_Blue_cycle55_OD946_HIP107390,2011-12-15,13:02:52,55910.5436574,HIP 107390,Point-source photometry,red,High,true,1,240.080697593,22,0.00190572617044,8.83901408168e-05,0.405838450284,0.496591448326,0.00421742616838,12.9013230428,10.5348763403
947,1342234440,ObsCal_RP_FPG_PPhot_Blue_cycle55_OD947_HIP107390,2011-12-16,21:27:06,55911.8938194,HIP 107390,Point-source photometry,red,High,true,1,239.453004655,22,0.0018327259571,9.02805492054e-05,0.46082499021,0.56387399753,0.00430762466488,13.941923522,10.904378281
1076,1342244868,ObsCal_RP_FPG_PPhot_Blue_cycl64_OD1076_HIP107390_70,2012-04-23,21:27:58,56040.8944213,HIP 107390,Scan map,red,High,false,1,81.8157945932,22,0.0200643999622,0.00137174284883,0.331452386963,0.405571282804,0.0487848711749,13.3280362097,10.8309711468
1083,1342245172,ObsCal_RP_FPG_PPhot_Blue_cycle64_OD1083_HIP107390,2012-04-30,21:18:01,56047.8875116,HIP 107390,Point-source photometry,red,High,true,1,78.4942549755,22,0.00207034794328,0.000120618969901,0.404465458391,0.494911430002,0.00575518485843,12.8977299053,10.3509906289
1315,1342257505,ObsCal_RP_FPG_PPhot_Blue_cycle81_OD1315_HIP107390,2012-12-19,13:01:57,56280.5430208,HIP 107390,Point-source photometry,red,High,true,1,237.86203992,22,0.00170168578838,0.000100084439196,0.358668248453,0.438873115258,0.00477540514146,12.5698044785,10.8172764017
1316,1342257516,ObsCal_RP_FPG_PPhot_Blue_cycle81_OD1316_HIP107390,2012-12-19,20:48:04,56280.866713,HIP 107390,Point-source photometry,red,High,true,1,237.703755318,22,0.00168684592749,0.000109696879982,0.40809722057,0.499355321504,0.00523405085624,13.0913286716,11.0632079371
1321,1342257729,ObsCal_RP_FPG_PPhot_Blue_cycle81_OD1321_HIP107390,2012-12-24,14:39:23,56285.6106829,HIP 107390,Point-source photometry,red,High,true,1,235.29366439,22,0.00176052264751,0.000124102909008,0.380942293111,0.466128049061,0.00592141670086,12.538847151,10.972951905
1322,1342257764,ObsCal_RP_FPG_PPhot_Blue_cycle81_OD1322_HIP107390,2012-12-25,13:43:34,56286.5719213,HIP 107390,Point-source photometry,red,High,true,1,234.782994231,22,0.00176195871342,0.000140135510299,0.406403669834,0.497283061441,0.00668639242785,12.0303476474,11.380312385
