OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
258,1342189772,Calibration_RPPhotFPG_1-RPPhotFPG_261A_StdPS_blu_SAA-20+30_OD258_HIP102082,2010-01-27,15:58:12,55223.6654167,HIP 102082,Point-source photometry,blue,High,true,1,180.7445822,12,0.3151476169,0.000483236356026,19.3896468806,24.1634643706,0.0128087008715,6.86388718773,6.44308398264
299,1342191836,Calibration_RPPhotFPG_1-RPPhotFPG_261B_cPS_blu_SAA-20+30_OD299_i_HIP102082,2010-03-09,10:12:03,55264.4250347,HIP 102082,Point-source photometry,blue,High,true,1,134.79673659,12,0.393923303988,0.000597828194372,23.439750627,29.2107217125,0.0158460811542,6.79226362172,6.24510168562
330,1342194123,Calibration_RPPhotFPG_1-RPPhotFPG_261C_cPS_blu_SAA-20+30_OD320_i_HIP102082,2010-04-09,00:04:54,55295.0034028,HIP 102082,Point-source photometry,blue,High,true,1,102.139597818,12,0.369895566057,0.000544902384555,24.4729666194,30.4983200877,0.0144432254753,7.38935938942,6.57757891385
200,1342187354,PVPhotFPG_261I_StdPS_blu_SAA-10+30_HIP102082_0001,2009-11-30,14:04:50,55165.5866898,HIP 102082,Point-source photometry,blue,High,true,1,236.299491413,12,0.324636526184,0.000462153259097,18.6960528885,23.299104446,0.0122498706456,6.8383297694,6.10093931139
274,1342190573,Calibration_RPPhotFPG_1-RPPhotFPG_261A_cPS_blu_SAA-20+30_OD274_i_HIP102082,2010-02-12,06:08:50,55239.2561343,HIP 102082,Point-source photometry,blue,High,true,1,163.554585383,12,0.359890917082,0.000531342228156,20.8775696394,26.017720345,0.0140837989029,6.80696607041,6.18103422676
320,1342193074,Calibration_RPPhotFPG_1-RPPhotFPG_261C_cPS_blu_SAA-20+30_OD320_i_HIP102082,2010-03-30,17:18:41,55285.7213079,HIP 102082,Point-source photometry,blue,High,true,1,111.579476695,12,0.39201989673,0.000729721663143,24.3156417152,30.3022610907,0.0193420598142,7.12347242384,6.26337817659
723,1342220070,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD723_HIP102082,2011-05-06,21:12:34,55687.8837269,HIP 102082,Point-source photometry,blue,High,true,1,76.4969075964,12,0.332400558069,0.000519178568319,23.0086121088,28.6734349693,0.0137613879783,7.62212337928,6.86905560658
723,1342220073,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD723_HIP102082_70,2011-05-06,21:32:27,55687.8975347,HIP 102082,Scan map,blue,High,false,1,76.4867532506,12,1.12442981023,0.000744025285419,24.0185462607,29.9320194111,0.0395372218042,6.32438528633,6.12935376552
726,1342220284,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD726_HIP102082,2011-05-10,01:49:47,55691.0762384,HIP 102082,Point-source photometry,blue,High,true,1,73.7116042945,12,0.344863002712,0.000572131096456,23.2551880582,28.9807190166,0.0151649518551,7.69934159068,6.47881187184
720,1342220554,ObsCal_RP_FPG_PPhot_Blue_cycle38_OD720_HIP102082,2011-05-03,22:54:00,55684.9541667,HIP 102082,Point-source photometry,blue,High,true,1,79.0781320719,12,0.380144110187,0.000518390742445,23.3585537203,29.1095337653,0.0137405058037,7.11091634723,6.2690509682
