OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
258,1342189772,Calibration_RPPhotFPG_1-RPPhotFPG_261A_StdPS_blu_SAA-20+30_OD258_HIP102082,2010-01-27,15:58:12,55223.6654167,HIP 102082,Point-source photometry,red,High,true,1,180.7445822,22,0.017309519569,0.000200510007763,3.64632912964,4.46171589285,0.00956708684869,11.9528869861,12.5933979459
299,1342191836,Calibration_RPPhotFPG_1-RPPhotFPG_261B_cPS_blu_SAA-20+30_OD299_i_HIP102082,2010-03-09,10:12:03,55264.4250347,HIP 102082,Point-source photometry,red,High,true,1,134.79673659,22,0.0195888616106,0.000509682474123,4.11752153103,5.03827564681,0.0243188684175,13.4208329602,11.7249705483
330,1342194123,Calibration_RPPhotFPG_1-RPPhotFPG_261C_cPS_blu_SAA-20+30_OD320_i_HIP102082,2010-04-09,00:04:54,55295.0034028,HIP 102082,Point-source photometry,red,High,true,1,102.139597818,22,0.0204752074941,0.000314095762594,4.45632135169,5.45283738565,0.0149866905551,13.684135584,11.7176628934
200,1342187354,PVPhotFPG_261I_StdPS_blu_SAA-10+30_HIP102082_0001,2009-11-30,14:04:50,55165.5866898,HIP 102082,Point-source photometry,red,High,true,1,236.299491413,22,0.0168243620898,0.000268062626889,3.51909131625,4.30602534654,0.0127902764602,12.8679094145,11.6001170275
274,1342190573,Calibration_RPPhotFPG_1-RPPhotFPG_261A_cPS_blu_SAA-20+30_OD274_i_HIP102082,2010-02-12,06:08:50,55239.2561343,HIP 102082,Point-source photometry,red,High,true,1,163.554585383,22,0.0185052952756,0.000235917860598,3.76583832231,4.60794955561,0.0112565287223,11.7390134041,12.4845386589
320,1342193074,Calibration_RPPhotFPG_1-RPPhotFPG_261C_cPS_blu_SAA-20+30_OD320_i_HIP102082,2010-03-30,17:18:41,55285.7213079,HIP 102082,Point-source photometry,red,High,true,1,111.579476695,22,0.020147549759,0.000459377596507,4.31701028743,5.28237378585,0.0219186334445,13.6817764337,11.8339298625
723,1342220070,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD723_HIP102082,2011-05-06,21:12:34,55687.8837269,HIP 102082,Point-source photometry,red,High,true,1,76.4969075964,22,0.019570493615,0.000187425949039,4.24609954302,5.19560608495,0.00894279718085,13.6930111807,11.7388650061
723,1342220073,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD723_HIP102082_70,2011-05-06,21:32:27,55687.8975347,HIP 102082,Scan map,red,High,false,1,76.4867532506,22,0.223239038715,0.00161817739966,4.00673993727,4.9027212358,0.0589457620468,12.3636221517,11.1318851965
726,1342220284,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD726_HIP102082,2011-05-10,01:49:47,55691.0762384,HIP 102082,Point-source photometry,red,High,true,1,73.7116042945,22,0.0199220833176,0.000199026525949,4.30295165735,5.26517138556,0.00949630435002,13.9143147229,11.6411296671
720,1342220554,ObsCal_RP_FPG_PPhot_Blue_cycle38_OD720_HIP102082,2011-05-03,22:54:00,55684.9541667,HIP 102082,Point-source photometry,red,High,true,1,79.0781320719,22,0.0199833465301,0.000164861237714,4.29020619977,5.24957580749,0.00786614990836,13.6594206767,11.5493922792
