OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
512,1342206028,ObsCal_RP_FPG_PPhot_Blue_cycle24_HIP44995_1,2010-10-07,19:04:47,55476.7949884,HIP 44995,Point-source photometry,blue,High,true,1,111.70645077,12,0.0344857142944,0.000221593067924,1.9063184571,2.37566255852,0.00587356329225,6.55133555635,6.02155972236
513,1342206067,ObsCal_RP_FPG_PPhot_Blue_cycle24_HIP44995_2,2010-10-08,17:43:32,55477.7385648,HIP 44995,Point-source photometry,blue,High,true,1,111.537173544,12,0.0376617798121,0.000258607377026,1.92688499638,2.40129267145,0.0068546674814,6.07461517629,5.54743282158
546,1342209380,ObsCal_RP_FPG_PPhot_Blue_cycle26_HIP44995_OD546,2010-11-11,08:32:13,55511.355706,HIP 44995,Point-source photometry,blue,High,true,1,106.418423452,12,0.0346507284266,0.000322132286243,1.83360034333,2.285040921,0.00853846372293,6.50753974132,5.59189904876
732,1342221202,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD732_HIP44995,2011-05-16,21:37:56,55697.9013426,HIP 44995,Point-source photometry,blue,High,true,1,285.092067336,12,0.0421660851901,0.00020783210702,2.53437247345,3.15834627321,0.00550881417988,6.87537841681,6.03624180837
733,1342221321,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD733_HIP44995,2011-05-17,22:12:38,55698.9254398,HIP 44995,Point-source photometry,blue,High,true,1,284.933257501,12,0.0481094562663,0.000219652114647,2.50307530556,3.11934360308,0.00582211623197,6.37018678569,5.42282751688
888,1342231140,ObsCal_RP_FPG_PPhot_Blue_cycle50_OD888_HIP44995,2011-10-18,17:10:53,55852.7158912,HIP 44995,Point-source photometry,blue,High,true,1,109.953156665,12,0.0361592614612,0.000195192046852,1.98688009773,2.47605883418,0.00517377575061,6.6577086607,5.9386324223
1245,1342252912,ObsCal_RP_FPG_PPhot_Blue_cycle76_OD1245_HIP44995,2012-10-09,17:23:31,56209.7246644,HIP 44995,Point-source photometry,blue,High,true,1,111.328566032,12,0.039119286774,0.000220095455658,2.1914191932,2.73095636667,0.00583386746368,6.65989513527,5.87824816846
1246,1342253295,ObsCal_RP_FPG_PPhot_Blue_cycl76_OD1246_HIP44995_70,2012-10-10,22:23:35,56210.933044,HIP 44995,Scan map,blue,High,false,1,111.121611703,12,0.114226080195,0.000681918065409,2.05486067113,2.56077652776,0.0149268299478,5.7122323002,5.66496848626
1250,1342253399,ObsCal_RP_FPG_PPhot_Blue_cycle76_OD1250_HIP44995,2012-10-14,16:34:01,56214.6902894,HIP 44995,Point-source photometry,blue,High,true,1,110.496411665,12,0.0426411394347,0.000323361333516,2.19650526851,2.73729465639,0.00857104094667,6.2722961609,5.38193828718
1251,1342253463,ObsCal_RP_FPG_PPhot_Blue_cycl76_OD1251_HIP44995_70,2012-10-15,19:03:51,56215.7943403,HIP 44995,Scan map,blue,High,false,1,110.317242703,12,0.111355654651,0.000642112200995,2.04043403705,2.54279799206,0.0148820326752,5.79346637852,5.66215117109
