OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
512,1342206028,ObsCal_RP_FPG_PPhot_Blue_cycle24_HIP44995_1,2010-10-07,19:04:47,55476.7949884,HIP 44995,Point-source photometry,red,High,true,1,111.70645077,22,0.00196397058582,0.000122446010172,0.501771908221,0.613977405192,0.00584235982365,13.1057421197,10.651302703
513,1342206067,ObsCal_RP_FPG_PPhot_Blue_cycle24_HIP44995_2,2010-10-08,17:43:32,55477.7385648,HIP 44995,Point-source photometry,red,High,true,1,111.537173544,22,0.00191694215877,0.000153455221817,0.464035607829,0.567802568744,0.00732192597708,11.5617887428,10.5804401386
546,1342209380,ObsCal_RP_FPG_PPhot_Blue_cycle26_HIP44995_OD546,2010-11-11,08:32:13,55511.355706,HIP 44995,Point-source photometry,red,High,true,1,106.418423452,22,0.00192489241506,0.000116083742553,0.504372653926,0.617159725831,0.0055387920988,11.1252000229,10.6130130899
732,1342221202,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD732_HIP44995,2011-05-16,21:37:56,55697.9013426,HIP 44995,Point-source photometry,red,High,true,1,285.092067336,22,0.00226717750504,0.000115233548955,0.621127537544,0.760023165001,0.00549822616356,12.642356325,10.7309285262
733,1342221321,ObsCal_RP_FPG_PPhot_Blue_cycle39_OD733_HIP44995,2011-05-17,22:12:38,55698.9254398,HIP 44995,Point-source photometry,red,High,true,1,284.933257501,22,0.00230490929954,0.000113226063549,0.565864768117,0.69240261626,0.00540244148206,13.1062932821,10.7593082289
888,1342231140,ObsCal_RP_FPG_PPhot_Blue_cycle50_OD888_HIP44995,2011-10-18,17:10:53,55852.7158912,HIP 44995,Point-source photometry,red,High,true,1,109.953156665,22,0.00189692588391,9.83395668128e-05,0.502242259637,0.6145529359,0.00469215071535,13.8371121841,10.5483555408
1245,1342252912,ObsCal_RP_FPG_PPhot_Blue_cycle76_OD1245_HIP44995,2012-10-09,17:23:31,56209.7246644,HIP 44995,Point-source photometry,red,High,true,1,111.328566032,22,0.00206247316563,9.99390368519e-05,0.565920736529,0.692471100247,0.0047684674486,14.0867634206,11.2259013996
1246,1342253295,ObsCal_RP_FPG_PPhot_Blue_cycl76_OD1246_HIP44995_70,2012-10-10,22:23:35,56210.933044,HIP 44995,Scan map,red,High,false,1,111.121611703,22,0.0250684118534,0.00144036930487,0.468161542647,0.572851139045,0.0316281721719,11.3488852564,11.2286672938
1250,1342253399,ObsCal_RP_FPG_PPhot_Blue_cycle76_OD1250_HIP44995,2012-10-14,16:34:01,56214.6902894,HIP 44995,Point-source photometry,red,High,true,1,110.496411665,22,0.00222364688445,0.000116982875454,0.552451887633,0.675990367147,0.00558169311227,11.5296280746,10.7620882621
1251,1342253463,ObsCal_RP_FPG_PPhot_Blue_cycl76_OD1251_HIP44995_70,2012-10-15,19:03:51,56215.7943403,HIP 44995,Scan map,red,High,false,1,110.317242703,22,0.0225975147935,0.00136879694527,0.491565463768,0.601488610625,0.0229507208651,13.2485884617,11.6308828942
