OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
221,1342188321,PPhoto-KHI_CYG_135,2009-12-20,20:19:18,55185.8467361,KHI CYG,Scan map,blue,High,false,3,209.892234098,12,1.6404265506,0.000650221272697,34.1795787064,42.594743337,0.0299743527529,5.63970653302,6.39428795758
200,1342187349,PVPhotFPG_261I_StdPS_blu_SAA-10+30_HIP97629_0001,2009-11-30,13:07:13,55165.5466782,HIP 97629,Point-source photometry,blue,High,true,1,228.906966279,12,0.566664776362,0.000721389644491,31.8260616784,39.6617799261,0.0191212106723,6.58916534644,5.96274923944
918,1342232447,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD918_HIP97629,2011-11-17,17:14:21,55882.7182986,HIP 97629,Point-source photometry,blue,High,true,1,240.203657175,12,0.500422132874,0.000657727984711,27.9175399876,34.7909627731,0.0174337897096,6.62673541929,5.95798677579
919,1342232467,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD919_HIP97629,2011-11-18,16:24:52,55883.6839352,HIP 97629,Point-source photometry,blue,High,true,1,239.417531976,12,0.495855413166,0.00061103455741,28.1011320274,35.0197559914,0.0161961300519,6.64616139461,6.06452888988
927,1342233057,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD927_HIP97629,2011-11-26,15:03:46,55891.6276157,HIP 97629,Point-source photometry,blue,High,true,1,232.816525893,12,0.507131378003,0.000640059716908,28.5020378821,35.5193666545,0.0169654732131,6.69924768163,6.02905337558
928,1342233200,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD928_HIP97629,2011-11-27,15:33:36,55892.6483333,HIP 97629,Point-source photometry,blue,High,true,1,231.949370788,12,0.499236642388,0.000614568060297,28.4441802182,35.4472641759,0.0162897893574,6.69917608288,6.13789376357
932,1342233348,ObsCal_RP_FPG_PPhot_Blue_cycle54_OD932_HIP97629,2011-12-01,14:56:29,55896.6225579,HIP 97629,Point-source photometry,blue,High,true,1,228.525073355,12,0.522062690027,0.000688757481244,28.7089948244,35.7772773185,0.0182562599859,6.50038398492,5.87815470145
935,1342233585,ObsCal_RP_FPG_PPhot_Blue_cycle54_OD935_HIP97629,2011-12-04,14:46:21,55899.6155208,HIP 97629,Point-source photometry,blue,High,true,1,225.888379848,12,0.5069605329,0.000567276172584,28.7506810247,35.8292268472,0.015036266861,6.71476589444,6.02505372717
936,1342234211,ObsCal_RP_FPG_PPhot_Blue_cycle54_OD936_HIP97629,2011-12-05,14:39:48,55900.6109722,HIP 97629,Point-source photometry,blue,High,true,1,224.99945647,12,0.493837596342,0.000623296285717,28.7501399121,35.8285525102,0.0165211403871,6.86988985698,6.12955352653
946,1342234334,ObsCal_RP_FPG_PPhot_Blue_cycle55_OD946_HIP97629,2011-12-15,13:11:46,55910.549838,HIP 97629,Point-source photometry,blue,High,true,1,215.758556364,12,0.494744305767,0.000577284371589,28.5227544873,35.5451837803,0.0153015449712,6.62501237272,6.07651241097
947,1342234445,ObsCal_RP_FPG_PPhot_Blue_cycle55_OD947_HIP97629,2011-12-16,21:59:41,55911.9164468,HIP 97629,Point-source photometry,blue,High,true,1,214.429446176,12,0.50891688092,0.000583942678659,28.8989796378,36.0140372398,0.0154780305823,6.60727720672,6.02470345539
1287,1342255708,ObsCal_RP_FPG_PPhot_Blue_cycle79_OD1287_HIP97629,2012-11-21,08:52:34,56252.369838,HIP 97629,Point-source photometry,blue,High,true,1,236.643093096,12,0.480139744358,0.000610372026934,27.0045110704,33.6531420667,0.016178568967,6.70109458854,6.02429110153
1294,1342256202,ObsCal_RP_FPG_PPhot_Blue_cycle79_OD1294_HIP97629,2012-11-28,18:41:50,56259.7790509,HIP 97629,Point-source photometry,blue,High,true,1,230.392842346,12,0.489613489221,0.000620185638135,27.0361536188,33.6925751515,0.0164386893175,6.60595987147,5.99310167374
1295,1342256205,ObsCal_RP_FPG_PPhot_Blue_cycle80_OD1295_HIP97629,2012-11-28,19:12:08,56259.8000926,HIP 97629,Point-source photometry,blue,High,true,1,230.37470086,12,0.495893193436,0.000610295064421,27.083632869,33.7517440048,0.0161765289926,6.5979100027,5.90473015537
1309,1342257034,ObsCal_RP_FPG_PPhot_Blue_cycle81_OD1309_HIP97629,2012-12-12,14:23:00,56273.5993056,HIP 97629,Point-source photometry,blue,High,true,1,217.918767048,12,0.497146947395,0.000616727908689,27.489589996,34.2576495859,0.0163470384688,6.68488526422,5.91929798444
221,1342188320,PPhoto-KHI_CYG_45,2009-12-20,19:55:11,55185.8299884,KHI CYG,Scan map,blue,High,false,3,209.908311384,12,1.61594279776,0.000822172810399,34.2511981582,42.6839958171,0.0442370280916,6.4573473531,5.809596436
