OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
221,1342188321,PPhoto-KHI_CYG_135,2009-12-20,20:19:18,55185.8467361,KHI CYG,Scan map,red,High,false,3,209.892234098,22,0.362642211751,0.0012325082426,5.98431907747,7.3225237181,0.0481075069654,10.4260312522,12.2586975415
200,1342187349,PVPhotFPG_261I_StdPS_blu_SAA-10+30_HIP97629_0001,2009-11-30,13:07:13,55165.5466782,HIP 97629,Point-source photometry,red,High,true,1,228.906966279,22,0.0294752747513,0.000162437320747,5.68300790299,6.95383378143,0.00775049571037,12.5429993382,11.2167618347
918,1342232447,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD918_HIP97629,2011-11-17,17:14:21,55882.7182986,HIP 97629,Point-source photometry,red,High,true,1,240.203657175,22,0.0270442765764,0.000151961780423,5.27097053951,6.44965722806,0.00725066826941,12.8135952411,11.1123654566
919,1342232467,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD919_HIP97629,2011-11-18,16:24:52,55883.6839352,HIP 97629,Point-source photometry,red,High,true,1,239.417531976,22,0.0265440205171,0.000161465156562,5.24737878906,6.42078992502,0.00770411009954,12.9451573764,11.114950695
927,1342233057,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD927_HIP97629,2011-11-26,15:03:46,55891.6276157,HIP 97629,Point-source photometry,red,High,true,1,232.816525893,22,0.0270750463782,0.000157268892183,5.3406635829,6.53493492743,0.00750389053843,12.9038237999,11.0891301802
928,1342233200,ObsCal_RP_FPG_PPhot_Blue_cycle53_OD928_HIP97629,2011-11-27,15:33:36,55892.6483333,HIP 97629,Point-source photometry,red,High,true,1,231.949370788,22,0.0269478172557,0.000143874701324,5.29185732496,6.47521468578,0.0068648032996,12.8303273021,11.1312445171
932,1342233348,ObsCal_RP_FPG_PPhot_Blue_cycle54_OD932_HIP97629,2011-12-01,14:56:29,55896.6225579,HIP 97629,Point-source photometry,red,High,true,1,228.525073355,22,0.0280319074887,0.00016397277668,5.3162313124,6.50503914849,0.00782375808979,12.2527433509,11.0638895902
935,1342233585,ObsCal_RP_FPG_PPhot_Blue_cycle54_OD935_HIP97629,2011-12-04,14:46:21,55899.6155208,HIP 97629,Point-source photometry,red,High,true,1,225.888379848,22,0.0270736592517,0.000159668546542,5.38874620354,6.59376971305,0.00761838707609,12.8261849308,11.1963410562
936,1342234211,ObsCal_RP_FPG_PPhot_Blue_cycle54_OD936_HIP97629,2011-12-05,14:39:48,55900.6109722,HIP 97629,Point-source photometry,red,High,true,1,224.99945647,22,0.0273708816542,0.000162804208028,5.38456701082,6.5886559754,0.00776800128288,12.7623224647,11.049965092
946,1342234334,ObsCal_RP_FPG_PPhot_Blue_cycle55_OD946_HIP97629,2011-12-15,13:11:46,55910.549838,HIP 97629,Point-source photometry,red,High,true,1,215.758556364,22,0.0272362058994,0.000132466259793,5.33784068637,6.53148077892,0.0063204636322,12.8894841616,11.137168176
947,1342234445,ObsCal_RP_FPG_PPhot_Blue_cycle55_OD947_HIP97629,2011-12-16,21:59:41,55911.9164468,HIP 97629,Point-source photometry,red,High,true,1,214.429446176,22,0.0272268101401,0.000166406078616,5.36293021031,6.56218078535,0.00793986007996,12.9224448209,11.0901068763
1287,1342255708,ObsCal_RP_FPG_PPhot_Blue_cycle79_OD1287_HIP97629,2012-11-21,08:52:34,56252.369838,HIP 97629,Point-source photometry,red,High,true,1,236.643093096,22,0.0270935106236,0.00013492786659,5.27989581962,6.46057836619,0.00643791615379,12.8751477218,11.1412757688
1294,1342256202,ObsCal_RP_FPG_PPhot_Blue_cycle79_OD1294_HIP97629,2012-11-28,18:41:50,56259.7790509,HIP 97629,Point-source photometry,red,High,true,1,230.392842346,22,0.0269038140507,0.000135412645824,5.32756170366,6.5189032252,0.00646104679492,13.0160374441,11.1368119986
1295,1342256205,ObsCal_RP_FPG_PPhot_Blue_cycle80_OD1295_HIP97629,2012-11-28,19:12:08,56259.8000926,HIP 97629,Point-source photometry,red,High,true,1,230.37470086,22,0.0271157923814,0.000137907669675,5.28788066942,6.47034877638,0.00658009376988,12.8540060028,11.0822941791
1309,1342257034,ObsCal_RP_FPG_PPhot_Blue_cycle81_OD1309_HIP97629,2012-12-12,14:23:00,56273.5993056,HIP 97629,Point-source photometry,red,High,true,1,217.918767048,22,0.0272326303285,0.000155654060631,5.31559417043,6.50425952977,0.0074268408496,12.2975674879,11.653741995
221,1342188320,PPhoto-KHI_CYG_45,2009-12-20,19:55:11,55185.8299884,KHI CYG,Scan map,red,High,false,3,209.908311384,22,0.364847675723,0.00125558889798,6.14029989316,7.51338473465,0.0580755793154,12.1765776712,10.8762208942
