MJD_blau;JD;Epoche;F_vobsblau[Jy];delta_F_vobs_blau[Jy];F_vo_blau;m_b[mag];delta_m_blau;F_vobs_rot[Jy];delta_F_vobs_rot_[Jy];F_vo_rot;m_r[mag];delta_m_r;m_b-m_r;delta_m_b-m_r;P_LS;Phase_LS
55264.6726505;2455265.1726505;55209.5430543054;13.829072668;0.007864609;0.7961;-3.099563587;0.0006174594;2.6876089399;0.0068615099;0.15;-3.1331870449;0.0027719024;0.0336234579;0.0028398414;310.2457323668;0.1776965497
55239.0224653;2455239.5224653;55209.5430543054;13.0806277848;0.0066501388;0.7961;-3.0391524097;0.0005519839;2.8493798687;0.0063692151;0.15;-3.1966477314;0.0024269447;0.1574953217;0.0024889249;310.2457323668;0.0950195536
55434.6546296;2455435.1546296;55209.5430543054;13.8699195286;0.005564013;0.7961;-3.1027657936;0.0004355505;2.7039122329;0.006506985;0.15;-3.1397533288;0.0026128323;0.0369875352;0.002648886;310.2457323668;0.7255912066
55436.7174884;2455437.2174884;55209.5430543054;13.9053154443;0.0063803076;0.7961;-3.1055330536;0.0004981786;2.6562692289;0.006464296;0.15;-3.1204520806;0.0026422473;0.014919027;0.0026888014;310.2457323668;0.7322403192
55790.5092824;2455791.0092824;55209.5430543054;13.5628186917;0.006798501;0.7961;-3.0784558305;0.0005442363;2.6673340438;0.0060210498;0.15;-3.1249653724;0.0024508635;0.0465095419;0.0025105627;310.2457323668;0.8726002245
55794.4808102;2455794.9808102;55209.5430543054;13.7222979927;0.006801004;0.7961;-3.0911480557;0.0005381093;2.7459218008;0.0057212306;0.15;-3.1564922651;0.0022621719;0.0653442094;0.0023252921;310.2457323668;0.8854014572
55796.4678704;2455796.9678704;55209.5430543054;13.8097956165;0.0071225325;0.7961;-3.098049068;0.0005599787;2.7048920874;0.0059308036;0.15;-3.140146711;0.0023806082;0.042097643;0.002445582;310.2457323668;0.8918062518
55797.4867824;2455797.9867824;55209.5430543054;14.0289447183;0.0065916474;0.7961;-3.1151434499;0.0005101446;2.7665817305;0.0062733873;0.15;-3.1646306141;0.0024619709;0.0494871642;0.0025142689;310.2457323668;0.8950904614
55823.0208102;2455823.5208102;55209.5430543054;14.4901526052;0.0068088757;0.7961;-3.1502633385;0.0005101839;2.8913290637;0.0056472384;0.15;-3.2125156568;0.0021206203;0.0622523182;0.0021811277;310.2457323668;0.977393053
56145.7362269;2456146.2362269;55209.5430543054;15.5914003458;0.0077181979;0.7961;-3.2297937482;0.0005374711;3.0490920926;0.0341024036;0.15;-3.2701982066;0.0121433572;0.0404044583;0.0121552457;310.2457323668;0.0175859808
56158.6021296;2456159.1021296;55209.5430543054;16.0191191829;0.0075845642;0.7961;-3.2591775216;0.000514063;3.1245491607;0.0061834509;0.15;-3.2967402576;0.0021486609;0.037562736;0.0022092995;310.2457323668;0.0590560201
56159.6655787;2456160.1655787;55209.5430543054;15.8091814065;0.0197442452;0.7961;-3.2448543975;0.0013559868;3.0331984601;0.0322251053;0.15;-3.2645239195;0.0115350064;0.019669522;0.0116144338;310.2457323668;0.0624837839
