MJD;JD;Epoche;F_vobs_blau[Jy];F_vobs_blau[Jy];F_vo_blau;m_b[mag];delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot[Jy];F_vo_rot;m_r[mag];delta_m_r;m_b-m_r;delta_m_b-m_r;P_LS;Phase_LS
55264.7126273;2455265.2126273;54991.4644464447;3.5931578102;0.005863224;0.7961;-1.6362716694;0.0017716769;0.6259395542;0.0058457573;0.15;-1.551102843;0.0101398774;-0.0851688264;0.0102934908;327.8627301512;0.8334225141
55295.0224884;2455295.5224884;54991.4644464447;3.6297337337;0.0055097419;0.7961;-1.6472678594;0.0016480896;0.674882056;0.0045024329;0.15;-1.6328415552;0.0072434203;-0.0144263041;0.0074285487;327.8627301512;0.9258693168
55239.2919907;2455239.7919907;54991.4644464447;3.5023458809;0.0054040135;0.7961;-1.6084785238;0.001675258;0.6725826061;0.0065616337;0.15;-1.6291359316;0.0105923098;0.0206574077;0.0107239692;327.8627301512;0.7558881247
55285.7382639;2455286.2382639;54991.4644464447;3.5874329429;0.0058916829;0.7961;-1.6345404199;0.0017831172;0.6788241385;0.0063782744;0.15;-1.6391650452;0.0102016459;0.0046246252;0.0103563066;327.8627301512;0.8975519033
55350.8915394;2455351.3915394;54991.4644464447;3.8755516108;0.005022228;0.7961;-1.7184147521;0.0014069777;0.6640639513;0.0047646593;0.15;-1.6152966153;0.0077901581;-0.1031181368;0.0079161954;327.8627301512;0.0962731043
55364.7394676;2455365.2394676;54991.4644464447;3.8407692351;0.0053018671;0.7961;-1.7086264758;0.0014987698;0.7355771339;0.0058871529;0.15;-1.7263424032;0.0086896327;0.0177159274;0.0088179378;327.8627301512;0.138510074
55510.6128819;2455511.1128819;54991.4644464447;3.7927076651;0.0054013455;0.7961;-1.6949543636;0.00154624;0.6998614266;0.0052421908;0.15;-1.6723019967;0.0081325189;-0.022652367;0.0082782077;327.8627301512;0.5834322956
55510.8412963;2455511.3412963;54991.4644464447;3.8005518702;0.0048434408;0.7961;-1.6971976007;0.0013836672;0.6932589772;0.0057090897;0.15;-1.6620106075;0.0089411974;-0.0351869932;0.0090476265;327.8627301512;0.5841289726
55696.0417824;2455696.5417824;54991.4644464447;4.3141212994;0.0046911437;0.7961;-1.83481182;0.0011806216;0.831881574;0.0053946326;0.15;-1.8599256146;0.0070408435;0.0251137946;0.0071391417;327.8627301512;0.149001003
55697.9219792;2455698.4219792;54991.4644464447;4.4083311367;0.0050684005;0.7961;-1.8582664642;0.0012483059;0.7972195277;0.0045574583;0.15;-1.8137166726;0.0062068192;-0.0445497915;0.0063311035;327.8627301512;0.1547357104
55708.9919329;2455709.4919329;54991.4644464447;4.3046510836;0.0045090953;0.7961;-1.8324258282;0.0011373019;0.8533196207;0.0052303069;0.15;-1.8875511814;0.0066548729;0.0551253533;0.0067513546;327.8627301512;0.1884996996
55710.0557986;2455710.5557986;54991.4644464447;4.3284906418;0.0053768241;0.7961;-1.8384221475;0.0013486948;0.8134147207;0.0054404177;0.15;-1.8355519217;0.0072618043;-0.0028702257;0.0073859853;327.8627301512;0.1917445506
55712.9823611;2455713.4823611;54991.4644464447;4.2192953948;0.0230893883;0.7961;-1.8106807692;0.0059415098;0.7680220385;0.036135571;0.15;-1.7732060582;0.0510840781;-0.037474711;0.0514284413;327.8627301512;0.2006707329
55722.8896065;2455723.3896065;54991.4644464447;4.2001728151;0.0055642766;0.7961;-1.8057488395;0.0014383543;0.8410065688;0.0056798808;0.15;-1.8717703222;0.0073327039;0.0660214827;0.0074724434;327.8627301512;0.2308883956
55723.890162;2455724.390162;54991.4644464447;4.2259933315;0.0050315008;0.7961;-1.8124029587;0.001292686;0.7862533778;0.0045875294;0.15;-1.7986781629;0.006334913;-0.0137247958;0.006465459;327.8627301512;0.2339401469
55728.9020486;2455729.4020486;54991.4644464447;4.2092328146;0.0047340761;0.7961;-1.8080883088;0.0012211151;0.8397086756;0.0067057205;0.15;-1.8700934529;0.0086704398;0.0620051441;0.0087560065;327.8627301512;0.2492266865
55822.8284375;2455823.3284375;54991.4644464447;3.7993481694;0.0050240589;0.7961;-1.6968536747;0.0014357206;0.7421797483;0.0057508564;0.15;-1.7360446016;0.0084129391;0.0391909269;0.0085345672;327.8627301512;0.5357075221
56067.8122222;2456068.3122222;54991.4644464447;3.8324847601;0.0054515661;0.7961;-1.7062820316;0.0015444191;0.8154569073;0.0050675577;0.15;-1.8382743917;0.0067471755;0.1319923601;0.0069216766;327.8627301512;0.2829220182
56073.7955324;2456074.2955324;54991.4644464447;3.7391560421;0.0048323916;0.7961;-1.6795149139;0.0014031783;0.7972430847;0.0323108462;0.15;-1.8137487546;0.0440029599;0.1342338407;0.0440253267;327.8627301512;0.3011714551
56074.7932755;2456075.2932755;54991.4644464447;3.735790409;0.006304787;0.7961;-1.6785371972;0.0018323661;0.7861589862;0.0350853822;0.15;-1.7985478098;0.048455173;0.1200106126;0.0484898067;327.8627301512;0.3042146283
