MJD;JD;Epoche;F_vobsblau[Jy];delta_F_vobsblau[Jy];F_vo_blau;m_b[mag];delta_m_b;F_vobsrot[Jy];delta_F_vobs_rot[Jy];F_vo_rot;m_r[mag];delta_m_r;m_b-m_r;delta_m_b-m_r;P_LS;Phase_LS
55165.6086227;2455166.1086227;54997.3936393639;7.8641568634;0.008515557;0.7961;-2.4867113593;0.0011756694;1.6779597481;0.007969799;0.15;-2.6217256986;0.0051569171;0.1350143394;0.0052892336;410.678738705;0.4096023667
55239.2672222;2455239.7672222;54997.3936393639;7.2398924711;0.0082119027;0.7961;-2.3969112302;0.0012315045;1.5625018791;0.0063350479;0.15;-2.5443232231;0.0044020368;0.1474119929;0.0045710537;410.678738705;0.5889605671
55729.3532639;2455729.8532639;54997.3936393639;8.1858796099;0.007824448;0.7961;-2.5302443231;0.0010377976;1.6315623801;0.0055791505;0.15;-2.5912810598;0.0037126903;0.0610367367;0.0038550088;410.678738705;0.7823168223
55882.6433912;2455883.1433912;54997.3936393639;10.4126172478;0.0084799481;0.7961;-2.7914807019;0.0008842145;2.097854528;0.0069751302;0.15;-2.8642102761;0.0036099507;0.0727295743;0.0037166623;410.678738705;0.1555772637
55883.6752315;2455884.1752315;54997.3936393639;10.3907790742;0.0084720817;0.7961;-2.7892012179;0.0008852508;2.0346474706;0.006658256;0.15;-2.8309947845;0.0035530035;0.0417935666;0.0036616258;410.678738705;0.158089788
55891.7109722;2455892.2109722;54997.3936393639;10.3049069757;0.0086821323;0.7961;-2.7801911294;0.0009147589;2.0415540884;0.0069633817;0.15;-2.8346740786;0.0037032551;0.0544829492;0.0038145619;410.678738705;0.1776567632
55892.7090394;2455893.2090394;54997.3936393639;10.2667838608;0.0071687156;0.7961;-2.7761669883;0.0007581083;2.043294579;0.0080345263;0.15;-2.8355993093;0.0042692699;0.0594323211;0.0043360574;410.678738705;0.1800870502
55896.7078009;2455897.2078009;54997.3936393639;10.394382265;0.0086037251;0.7961;-2.7895776513;0.0008986947;2.0049394795;0.0070301227;0.15;-2.8150250216;0.003807027;0.0254473702;0.0039116629;410.678738705;0.1898240079
55899.6242824;2455900.1242824;54997.3936393639;10.1952971629;0.0089197718;0.7961;-2.768580662;0.0009499006;1.9989284704;0.006436789;0.15;-2.8117649864;0.0034962006;0.0431843244;0.0036229449;410.678738705;0.1969256209
55900.6305556;2455901.1305556;54997.3936393639;10.2251470868;0.0069222852;0.7961;-2.7717548501;0.0007350286;2.0217191715;0.0062073869;0.15;-2.8240739259;0.0033335909;0.0523190758;0.0034136631;410.678738705;0.1993758895
55992.7676736;2455993.2676736;54997.3936393639;8.4804861387;0.0073356389;0.7961;-2.5686328118;0.0009391642;1.7004507147;0.006164851;0.15;-2.6361819749;0.0039362516;0.0675491631;0.0040467402;410.678738705;0.4237291596
55999.5957407;2456000.0957407;54997.3936393639;8.3161790798;0.0076809065;0.7961;-2.5473905222;0.0010027969;1.7538757515;0.0075310773;0.15;-2.6697689117;0.0046621109;0.1223783894;0.0047687399;410.678738705;0.4403554576
