MJD;JD;Epoche;F_vobs_blau[Jy];delta_F_vobs_blau[Jy];F_vo_blau;m_b[mag];delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot[Jy];F_vo_rot;m_r[mag];delta_m_r;m_b-m_r;delta_m_b-m_r;P_LS;Phase_LS
55223.6654167;2455224.1654167;55348.3729372937;24.1634643706;0.0128087009;0.7961;-3.7054789407;0.000575533;4.4617158929;0.0095670868;0.15;-3.6835266334;0.0023281026;-0.0219523073;0.0023981868;399.4466212327;0.6877992854
55264.4250347;2455264.9250347;55348.3729372937;29.2107217125;0.0158460812;0.7961;-3.9114366584;0.0005889846;5.0382756468;0.0243188684;0.15;-3.8154766631;0.0052406573;-0.0959599953;0.0052736507;399.4466212327;0.7898394976
55295.0034028;2455295.5034028;55348.3729372937;30.4983200877;0.0144432255;0.7961;-3.9582707356;0.0005141769;5.4528373857;0.0149866906;0.15;-3.9013282183;0.0029840597;-0.0569425173;0.0030280341;399.4466212327;0.8663913233
55165.5866898;2455166.0866898;55348.3729372937;23.299104446;0.0122498706;0.7961;-3.6659290108;0.0005708429;4.3060253465;0.0127902765;0.15;-3.6449633071;0.0032249848;-0.0209657038;0.0032751166;399.4466212327;0.5424013178
55239.2561343;2455239.7561343;55348.3729372937;26.017720345;0.0140837989;0.7961;-3.7857540435;0.000587726;4.6079495556;0.0112565287;0.15;-3.7185411426;0.0026522905;-0.0672129008;0.0027166278;399.4466212327;0.7268300764
55285.7213079;2455286.2213079;55348.3729372937;30.3022610907;0.0193420598;0.7961;-3.9512685298;0.00069303;5.2823737859;0.0219186334;0.15;-3.866844675;0.0045051439;-0.0844238548;0.0045581369;399.4466212327;0.8431539383
55687.8837269;2455688.3837269;55348.3729372937;28.6734349693;0.013761388;0.7961;-3.8912802475;0.0005210829;5.195606085;0.0089427972;0.15;-3.8488623943;0.0018687942;-0.0424178532;0.0019400823;399.4466212327;0.8499528387
55687.8975347;2455688.3975347;55348.3729372937;29.9320194111;0.0395372218;0.7961;-3.9379209857;0.0014341496;4.9027212358;0.058945762;0.15;-3.7858648533;0.0130538827;-0.1520561324;0.013132427;399.4466212327;0.849987406
55691.0762384;2455691.5762384;55348.3729372937;28.9807190166;0.0151649519;0.7961;-3.9028538307;0.0005681411;5.2651713856;0.0094963044;0.15;-3.8633031333;0.0019582423;-0.0395506973;0.0020389942;399.4466212327;0.8579451744
55684.9541667;2455685.4541667;55348.3729372937;29.1095337653;0.0137405058;0.7961;-3.9076690642;0.0005124975;5.2495758075;0.0078661499;0.15;-3.8600823814;0.0016269055;-0.0475866828;0.0017057184;399.4466212327;0.8426187919
55680.9659954;2455681.4659954;55348.3729372937;28.9148836022;0.0151217336;0.7961;-3.9003845611;0.0005678119;5.2202648967;0.0090102467;0.15;-3.8540032058;0.0018739951;-0.0463813554;0.0019581287;399.4466212327;0.832634551
55696.0183681;2455696.5183681;55348.3729372937;29.2040424844;0.0120296754;0.7961;-3.9111883691;0.0004472345;5.3145575682;0.0089002546;0.15;-3.8734396418;0.0018182753;-0.0377487273;0.0018724699;399.4466212327;0.8703176152
55697.0870833;2455697.5870833;55348.3729372937;31.8063860124;0.0249755499;0.7961;-4.0038667536;0.0008525602;5.2839139217;0.0120900112;0.15;-3.8671611875;0.0024842499;-0.1367055661;0.0026264723;399.4466212327;0.8729931046
55697.1408565;2455697.6408565;55348.3729372937;31.5002187411;0.0231955826;0.7961;-3.9933648642;0.0007994955;5.3196681847;0.0124694986;0.15;-3.8744832122;0.0025450057;-0.118881652;0.0026676295;399.4466212327;0.8731277239
55697.2213889;2455697.7213889;55348.3729372937;32.0873918763;0.0248466792;0.7961;-4.0134169858;0.0008407333;5.2705411993;0.0129207998;0.15;-3.8644098837;0.0026616963;-0.1490071022;0.0027913187;399.4466212327;0.8733293338
55697.3001273;2455697.8001273;55348.3729372937;31.7560424954;0.0246098227;0.7961;-4.0021468763;0.0008414076;5.2309136168;0.0111077511;0.15;-3.8562157227;0.0023055413;-0.1459311535;0.0024542794;399.4466212327;0.8735264525
55697.4825347;2455697.9825347;55348.3729372937;31.800178412;0.0238075532;0.7961;-4.0036548316;0.0008128483;5.299535475;0.0138420864;0.15;-3.8703663615;0.0028358815;-0.1332884701;0.0029500756;399.4466212327;0.8739831027
55697.786088;2455698.286088;55348.3729372937;31.3635122306;0.0241624874;0.7961;-3.9886426678;0.0008364525;5.3254247953;0.01289388;0.15;-3.8756574925;0.0026287766;-0.1129851753;0.0027586445;399.4466212327;0.8747430373
55728.925463;2455729.425463;55348.3729372937;32.9368521982;0.0152775179;0.7961;-4.0417861676;0.0005036108;5.5234855899;0.0156163831;0.15;-3.9153049157;0.003069669;-0.1264812519;0.003110706;399.4466212327;0.9526993232
56040.8746065;2456041.3746065;55348.3729372937;24.2598383759;0.0431140559;0.7961;-3.7098006982;0.0019295467;4.3985825853;0.1549391124;0.15;-3.6680537285;0.0382448211;-0.0417469697;0.0382934654;399.4466212327;0.7336525893
56047.8776505;2456048.3776505;55348.3729372937;24.8711501707;0.0114221711;0.7961;-3.7368206146;0.0004986285;4.6406054131;0.0096279445;0.15;-3.7262084581;0.0022525957;-0.0106121565;0.0023071233;399.4466212327;0.7511844538
56230.6418403;2456231.1418403;55348.3729372937;32.9286597787;0.0175415418;0.7961;-4.0415160776;0.0005783863;5.6781455457;0.0101944822;0.15;-3.9452881534;0.0019493192;-0.0962279242;0.0020333166;399.4466212327;0.2087279153
56230.6584028;2456231.1584028;55348.3729372937;33.1660036746;0.0186735871;0.7961;-4.0493138015;0.0006113064;5.6662006393;0.0133047995;0.15;-3.9430017243;0.002549416;-0.1063120772;0.0026216822;399.4466212327;0.208769379
56229.6444676;2456230.1444676;55348.3729372937;32.5928583526;0.0160714891;0.7961;-4.0303870632;0.0005353749;5.6120072804;0.0112556464;0.15;-3.9325674168;0.0021775921;-0.0978196465;0.0022424392;399.4466212327;0.2062310293
56229.6610301;2456230.1610301;55348.3729372937;32.5487003289;0.0148926526;0.7961;-4.0289150698;0.0004967784;5.6467988446;0.0118799629;0.15;-3.9392776453;0.0022842156;-0.0896374245;0.0023376119;399.4466212327;0.2062724929
56235.6434491;2456236.1434491;55348.3729372937;32.5978168861;0.0151057225;0.7961;-4.0305522298;0.0005031266;5.6773734907;0.0096062089;0.15;-3.9451405163;0.0018370834;-0.0854117135;0.0019047341;399.4466212327;0.22124926
56235.6600116;2456236.1600116;55348.3729372937;32.5559805874;0.0145278439;0.7961;-4.0291578923;0.000484501;5.6601178967;0.0114409495;0.15;-3.9418355458;0.002194628;-0.0873223465;0.0022474726;399.4466212327;0.2212907236
56236.6151505;2456237.1151505;55348.3729372937;32.2485902572;0.0148806957;0.7961;-4.0188577759;0.000500999;5.7742998654;0.0103316942;0.15;-3.9635201861;0.0019426588;-0.0553375898;0.0020062211;399.4466212327;0.2236818789
56236.631713;2456237.131713;55348.3729372937;32.1007232898;0.0142689452;0.7961;-4.0138679852;0.0004826156;5.6753369765;0.0094462517;0.15;-3.9447509852;0.0018071416;-0.069117;0.0018704755;399.4466212327;0.2237233425
56238.6438657;2456239.1438657;55348.3729372937;32.3518000716;0.012856665;0.7961;-4.0223270653;0.0004314736;5.6132389609;0.0088144374;0.15;-3.9328056797;0.0017049254;-0.0895213856;0.0017586757;399.4466212327;0.2287606931
56238.6604282;2456239.1604282;55348.3729372937;32.2466159221;0.0151189749;0.7961;-4.0187913025;0.0005090524;5.6129075432;0.0105982006;0.15;-3.9327415736;0.0020500694;-0.0860497289;0.0021123255;399.4466212327;0.2288021567
56245.8566551;2456246.3566551;55348.3729372937;31.9524747443;0.0140601331;0.7961;-4.0088421908;0.0004777594;5.604536951;0.0089457022;0.15;-3.9311211944;0.0017330018;-0.0777209964;0.0017976511;399.4466212327;0.2468176475
56245.8732176;2456246.3732176;55348.3729372937;31.7325202333;0.0140685332;0.7961;-4.0013423543;0.0004813584;5.6172446826;0.0104609067;0.15;-3.9335802069;0.0020219495;-0.0677621474;0.0020784575;399.4466212327;0.2468591111
56244.8504861;2456245.3504861;55348.3729372937;31.8755571095;0.0139191768;0.7961;-4.0062254001;0.0004741111;5.5991007101;0.0094809812;0.15;-3.9300675502;0.0018384818;-0.0761578498;0.0018986302;399.4466212327;0.2442987402
56244.8670486;2456245.3670486;55348.3729372937;31.7801036031;0.0136118216;0.7961;-4.0029692119;0.0004650346;5.5779181131;0.010618257;0.15;-3.9259521881;0.0020668331;-0.0770170238;0.0021185033;399.4466212327;0.2443402038
56250.8602662;2456251.3602662;55348.3729372937;31.4581651444;0.0151897763;0.7961;-3.9919144102;0.0005242547;5.5580173932;0.0131311066;0.15;-3.9220716062;0.0025651085;-0.069842804;0.0026181338;399.4466212327;0.2593440048
56250.8743403;2456251.3743403;55348.3729372937;31.6443289491;0.0143938259;0.7961;-3.9983206663;0.0004938609;5.5730103567;0.011095756;0.15;-3.9249964777;0.0021616798;-0.0733241886;0.0022173764;399.4466212327;0.2593792388
56406.6634606;2456407.1634606;55348.3729372937;23.6237088331;0.0092359969;0.7961;-3.6809511433;0.0004244827;4.7597549967;0.0134112252;0.15;-3.7537333485;0.0030592022;0.0727822052;0.0030885115;399.4466212327;0.6493916009
56405.7242708;2456406.2242708;55348.3729372937;23.457300117;0.0094507779;0.7961;-3.673276001;0.0004374353;4.7010552727;0.0145294575;0.15;-3.740260246;0.0033556632;0.0669842449;0.0033840545;399.4466212327;0.6470403736
56409.7044676;2456410.2044676;55348.3729372937;23.4269469486;0.0097836689;0.7961;-3.6718701754;0.0004534301;4.6493426927;0.0117794558;0.15;-3.728250748;0.0027507935;0.0563805726;0.0027879139;399.4466212327;0.6570046507
