MJD;JD;Epoche;F_vobs_blau[Jy];delta_F_vobs_blau[Jy];F_vo_blau;m_b[mag];delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot[Jy];F_vo_rot;m_r[mag];delta_m_r;m_b-m_r;delta_m_b-m_r;P_LS;Phase_LS
55476.7949884;2455477.2949884;55271.2934293429;2.3756625585;0.0058735633;0.7961;-1.1870428229;0.0026843629;0.6139774052;0.0058423598;0.15;-1.5301528251;0.0103314251;0.3431100022;0.0106744625;398.7315040262;0.5153883177
55477.7385648;2455478.2385648;55271.2934293429;2.4012926715;0.0068546675;0.7961;-1.1986936788;0.0030993143;0.5678025687;0.007321926;0.15;-1.4452652347;0.0140007822;0.2465715559;0.0143397229;398.7315040262;0.5177547632
55511.355706;2455511.855706;55271.2934293429;2.285040921;0.0085384637;0.7961;-1.144815895;0.0040570473;0.6171597258;0.0055387921;0.15;-1.535765796;0.0097441017;0.390949901;0.0105549586;398.7315040262;0.6020649842
55697.9013426;2455698.4013426;55271.2934293429;3.1583462732;0.0055088142;0.7961;-1.4962302983;0.0018937502;0.760023165;0.0054982262;0.15;-1.7618389261;0.007854528;0.2656086278;0.0080795977;398.7315040262;0.0699127331
55698.9254398;2455699.4254398;55271.2934293429;3.1193436031;0.0058221162;0.7961;-1.4827389801;0.0020264784;0.6924026163;0.0054024415;0.15;-1.6606686029;0.0084714098;0.1779296228;0.008710419;398.7315040262;0.0724811211
55852.7158912;2455853.2158912;55271.2934293429;2.4760588342;0.0051737758;0.7961;-1.2319833398;0.0022686681;0.6145529359;0.0046921507;0.15;-1.5311700968;0.0082896649;0.299186757;0.0085944982;398.7315040262;0.4581803945
56209.7246644;2456210.2246644;55271.2934293429;2.7309563667;0.0058338675;0.7961;-1.3383678435;0.0023193491;0.6924711002;0.0047684674;0.15;-1.6607759853;0.0074765543;0.3224081417;0.0078280421;398.7315040262;0.3535417332
56210.933044;2456211.433044;55271.2934293429;2.5607765278;0.0149268299;0.7961;-1.2685101412;0.0063287833;0.572851139;0.0316281722;0.15;-1.4548763048;0.0599455064;0.1863661636;0.0602786632;398.7315040262;0.3565722928
56214.6902894;2456215.1902894;55271.2934293429;2.7372946564;0.0085710409;0.7961;-1.3408848142;0.0033996667;0.6759903671;0.0055816931;0.15;-1.6346231206;0.0089649891;0.2937383064;0.0095879489;398.7315040262;0.3659952889
56215.7943403;2456216.2943403;55271.2934293429;2.5427979921;0.0148820327;0.7961;-1.2608605897;0.0063544024;0.6014886106;0.0229507209;0.15;-1.507840373;0.0414279309;0.2469797833;0.0419124311;398.7315040262;0.368764197
